"Plot Title: 10350065"
"#","Date Time, GMT+01:00","Line 1 Open (LGR S/N: 10350065)","Coupler Detached (LGR S/N: 10350065)","Stopped (LGR S/N: 10350065)","Coupler Attached (LGR S/N: 10350065)","Good Battery (LGR S/N: 10350065)","Line 2 Open (LGR S/N: 10350065)","Started (LGR S/N: 10350065)","Ext. Line Event (LGR S/N: 10350065)","Line 1 Closed (LGR S/N: 10350065)","Line 3 Open (LGR S/N: 10350065)","Interval Change (LGR S/N: 10350065)","Bad Battery (LGR S/N: 10350065)","Line 3 Closed (LGR S/N: 10350065)","Custom Event (LGR S/N: 10350065)","Line 2 Closed (LGR S/N: 10350065)","End Of File (LGR S/N: 10350065)"
241,10/14/2076 09:22:02 AM,,Logged,,,,,,,,,,,,,,
242,12/19/2033 03:03:03 PM,,Logged,,,,,,,,,,,,,,
243,07/19/1991 11:59:32 AM,,Logged,,,,,,,,,,,,,,
244,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
245,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
246,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
247,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
248,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
249,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
250,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
251,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
252,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
253,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
254,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
255,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
256,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
257,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
258,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
259,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
260,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
261,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
262,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
263,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
264,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
265,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
266,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
267,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
268,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
269,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
270,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
271,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
272,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
273,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
274,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
275,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
276,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
277,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
278,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
279,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
280,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
281,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
282,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
283,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
284,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
