date_time,th,origin
2022-12-19 23:00:00,8.3275,H
2022-12-20 00:00:00,8.0602,H
2022-12-20 01:00:00,7.5582,H
2022-12-20 02:00:00,7.8765,H
2022-12-20 03:00:00,8.01,H
2022-12-20 04:00:00,8.094,H
2022-12-20 05:00:00,8.0102,H
2022-12-20 06:00:00,8.294,H
2022-12-20 07:00:00,7.7593,H
2022-12-20 08:00:00,7.5245,H
2022-12-20 09:00:00,8.2435,H
2022-12-20 10:00:00,10.5712,H
2022-12-20 11:00:00,11.0123,H
2022-12-20 12:00:00,14.4315,H
2022-12-20 13:00:00,19.04,H
2022-12-20 14:00:00,16.312,H
2022-12-20 15:00:00,15.2773,H
2022-12-20 16:00:00,12.794,H
2022-12-20 17:00:00,12.1648,H
2022-12-20 18:00:00,11.1913,H
2022-12-20 19:00:00,10.343,H
2022-12-20 20:00:00,10.5542,H
2022-12-20 21:00:00,11.7763,H
2022-12-20 22:00:00,11.9702,H
2022-12-20 23:00:00,11.6463,H
2022-12-21 00:00:00,10.392,H
2022-12-21 01:00:00,9.7353,H
2022-12-21 02:00:00,9.9328,H
2022-12-21 03:00:00,9.6695,H
2022-12-21 04:00:00,9.8012,H
2022-12-21 05:00:00,10.0968,H
2022-12-21 06:00:00,9.6862,H
2022-12-21 07:00:00,10.064,H
2022-12-21 08:00:00,10.6537,H
2022-12-21 09:00:00,10.621,H
2022-12-21 10:00:00,11.354,H
2022-12-21 11:00:00,12.4872,H
2022-12-21 12:00:00,14.3352,H
2022-12-21 13:00:00,13.5025,H
2022-12-21 14:00:00,13.4703,H
2022-12-21 15:00:00,13.1327,H
2022-12-21 16:00:00,12.6498,H
2022-12-21 17:00:00,12.6983,H
2022-12-21 18:00:00,12.6013,H
2022-12-21 19:00:00,12.3912,H
2022-12-21 20:00:00,12.4558,H
2022-12-21 21:00:00,12.585,H
2022-12-21 22:00:00,13.374,H
2022-12-21 23:00:00,13.3097,H
2022-12-22 00:00:00,13.02,H
2022-12-22 01:00:00,11.6627,H
2022-12-22 02:00:00,11.8087,H
2022-12-22 03:00:00,12.6817,H
2022-12-22 04:00:00,13.4222,H
2022-12-22 05:00:00,13.4867,H
2022-12-22 06:00:00,13.2453,H
2022-12-22 07:00:00,13.0362,H
2022-12-22 08:00:00,12.8752,H
2022-12-22 09:00:00,12.3427,H
2022-12-22 10:00:00,12.3912,H
2022-12-22 11:00:00,12.6978,H
2022-12-22 12:00:00,12.7945,H
2022-12-22 13:00:00,13.0363,H
2022-12-22 14:00:00,12.7142,H
2022-12-22 15:00:00,12.2295,H
2022-12-22 16:00:00,12.4397,H
2022-12-22 17:00:00,12.4235,H
2022-12-22 18:00:00,12.1325,H
2022-12-22 19:00:00,12.8752,H
2022-12-22 20:00:00,11.6298,H
2022-12-22 21:00:00,10.2937,H
2022-12-22 22:00:00,10.2772,H
2022-12-22 23:00:00,11.0928,H
2022-12-23 00:00:00,12.4718,H
2022-12-23 01:00:00,13.213,H
2022-12-23 02:00:00,13.6628,H
2022-12-23 03:00:00,13.8875,H
2022-12-23 04:00:00,14.032,H
2022-12-23 05:00:00,14.032,H
2022-12-23 06:00:00,14.08,H
2022-12-23 07:00:00,14.048,H
2022-12-23 08:00:00,14.256,H
2022-12-23 09:00:00,13.5185,H
2022-12-23 10:00:00,13.711,H
2022-12-23 11:00:00,13.3418,H
2022-12-23 12:00:00,13.4543,H
