"","id","dttm","temp","lux"
"276",558,2021-12-14 21:50:00,4.102,0
"277",559,2021-12-14 22:00:00,4.102,0
"278",560,2021-12-14 22:10:00,4.102,0
"279",561,2021-12-14 22:20:00,4.102,0
"280",562,2021-12-14 22:30:00,4.102,0
"281",563,2021-12-14 22:40:00,4.102,0
"282",564,2021-12-14 22:50:00,4.102,0
"283",565,2021-12-14 23:00:00,3.893,0
"284",566,2021-12-14 23:10:00,3.998,0
"285",567,2021-12-14 23:20:00,3.998,0
"286",568,2021-12-14 23:30:00,4.102,0
"287",569,2021-12-14 23:40:00,3.998,0
"288",570,2021-12-14 23:50:00,4.102,0
"289",571,2021-12-15 00:00:00,4.102,0
"290",572,2021-12-15 00:10:00,4.102,0
"291",573,2021-12-15 00:20:00,4.102,0
"292",574,2021-12-15 00:30:00,4.102,0
"293",575,2021-12-15 00:40:00,4.207,0
"294",576,2021-12-15 00:50:00,4.207,0
"295",577,2021-12-15 01:00:00,4.207,0
"296",578,2021-12-15 01:10:00,4.207,0
"297",579,2021-12-15 01:20:00,4.207,0
"298",580,2021-12-15 01:30:00,4.311,0
"299",581,2021-12-15 01:40:00,4.207,0
"300",582,2021-12-15 01:50:00,4.207,0
"301",583,2021-12-15 02:00:00,4.207,0
"302",584,2021-12-15 02:10:00,4.102,0
"303",585,2021-12-15 02:20:00,4.207,0
"304",586,2021-12-15 02:30:00,4.102,0
"305",587,2021-12-15 02:40:00,4.207,0
"306",588,2021-12-15 02:50:00,4.311,0
"307",589,2021-12-15 03:00:00,4.207,0
"308",590,2021-12-15 03:10:00,4.311,0
"309",591,2021-12-15 03:20:00,4.311,0
"310",592,2021-12-15 03:30:00,4.415,0
"311",593,2021-12-15 03:40:00,4.415,0
"312",594,2021-12-15 03:50:00,4.415,0
"313",595,2021-12-15 04:00:00,4.415,0
"314",596,2021-12-15 04:10:00,4.415,0
"315",597,2021-12-15 04:20:00,4.415,0
"316",598,2021-12-15 04:30:00,4.415,0
"317",599,2021-12-15 04:40:00,4.311,0
"318",600,2021-12-15 04:50:00,4.415,0
"319",601,2021-12-15 05:00:00,4.415,0
"320",602,2021-12-15 05:10:00,4.311,0
"321",603,2021-12-15 05:20:00,4.415,0
"322",604,2021-12-15 05:30:00,4.311,0
"323",605,2021-12-15 05:40:00,4.311,0
"324",606,2021-12-15 05:50:00,4.415,0
"325",607,2021-12-15 06:00:00,4.519,0
"326",608,2021-12-15 06:10:00,4.519,0
"327",609,2021-12-15 06:20:00,4.415,0
"328",610,2021-12-15 06:30:00,4.415,0
"329",611,2021-12-15 06:40:00,4.415,0
"330",612,2021-12-15 06:50:00,4.311,0
"331",613,2021-12-15 07:00:00,4.311,0
"332",614,2021-12-15 07:10:00,4.311,0
"333",615,2021-12-15 07:20:00,4.415,0
"334",616,2021-12-15 07:30:00,4.415,0
"335",617,2021-12-15 07:40:00,4.311,0
"336",618,2021-12-15 07:50:00,4.415,0
"337",619,2021-12-15 08:00:00,4.415,10.8
"338",620,2021-12-15 08:10:00,4.415,32.3
"339",621,2021-12-15 08:20:00,4.415,129.2
"340",622,2021-12-15 08:30:00,4.519,269.1
"341",623,2021-12-15 08:40:00,4.519,441.3
"342",624,2021-12-15 08:50:00,4.519,645.8
"343",625,2021-12-15 09:00:00,4.623,1011.8
"344",626,2021-12-15 09:10:00,4.623,1141
"345",627,2021-12-15 09:20:00,4.623,1636.1
"346",628,2021-12-15 09:30:00,4.519,1324
"347",629,2021-12-15 09:40:00,4.415,1345.5
