"Plot-Titel: 10350056"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10350056, SEN S/N: 10350056)","Intensität, Lux (LGR S/N: 10350056, SEN S/N: 10350056)","Batterie defekt (LGR S/N: 10350056)","Koppler verbunden (LGR S/N: 10350056)","Host verbunden (LGR S/N: 10350056)","Angehalten (LGR S/N: 10350056)","Dateiende (LGR S/N: 10350056)"
410,12.02.22 09:10:00 PM,4.934,0.0,,,,,
411,12.02.22 09:20:00 PM,4.934,0.0,,,,,
412,12.02.22 09:30:00 PM,4.934,0.0,,,,,
413,12.02.22 09:40:00 PM,4.934,0.0,,,,,
414,12.02.22 09:50:00 PM,4.934,0.0,,,,,
415,12.02.22 10:00:00 PM,4.831,0.0,,,,,
416,12.02.22 10:10:00 PM,4.934,0.0,,,,,
417,12.02.22 10:20:00 PM,4.831,0.0,,,,,
418,12.02.22 10:30:00 PM,4.831,0.0,,,,,
419,12.02.22 10:40:00 PM,4.831,0.0,,,,,
420,12.02.22 10:50:00 PM,4.831,0.0,,,,,
421,12.02.22 11:00:00 PM,4.831,0.0,,,,,
422,12.02.22 11:10:00 PM,4.831,0.0,,,,,
423,12.02.22 11:20:00 PM,4.831,0.0,,,,,
424,12.02.22 11:30:00 PM,4.831,0.0,,,,,
425,12.02.22 11:40:00 PM,4.727,0.0,,,,,
426,12.02.22 11:50:00 PM,4.727,0.0,,,,,
427,12.03.22 12:00:00 AM,4.623,0.0,,,,,
428,12.03.22 12:10:00 AM,4.415,0.0,,,,,
429,12.03.22 12:20:00 AM,4.207,0.0,,,,,
430,12.03.22 12:30:00 AM,3.998,0.0,,,,,
431,12.03.22 12:40:00 AM,3.788,0.0,,,,,
