"Plot-Titel: 10349997"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10349997, SEN S/N: 10349997, LBL: CFB045_NW_TEMP)","Intensität, Lux (LGR S/N: 10349997, SEN S/N: 10349997, LBL: CFB045_NW_Light)","Koppler verbunden (LGR S/N: 10349997)","Host verbunden (LGR S/N: 10349997)","Angehalten (LGR S/N: 10349997)","Dateiende (LGR S/N: 10349997)"
294,12.02.22 01:50:00 AM,3.998,0.0,,,,
295,12.02.22 02:00:00 AM,3.893,0.0,,,,
296,12.02.22 02:10:00 AM,3.893,0.0,,,,
297,12.02.22 02:20:00 AM,3.788,0.0,,,,
298,12.02.22 02:30:00 AM,3.788,0.0,,,,
299,12.02.22 02:40:00 AM,3.788,0.0,,,,
300,12.02.22 02:50:00 AM,3.788,0.0,,,,
301,12.02.22 03:00:00 AM,3.788,0.0,,,,
302,12.02.22 03:10:00 AM,3.893,0.0,,,,
303,12.02.22 03:20:00 AM,3.788,0.0,,,,
304,12.02.22 03:30:00 AM,3.788,0.0,,,,
305,12.02.22 03:40:00 AM,3.893,0.0,,,,
306,12.02.22 03:50:00 AM,3.998,0.0,,,,
307,12.02.22 04:00:00 AM,4.102,0.0,,,,
308,12.02.22 04:10:00 AM,3.998,0.0,,,,
309,12.02.22 04:20:00 AM,3.893,0.0,,,,
310,12.02.22 04:30:00 AM,3.998,0.0,,,,
311,12.02.22 04:40:00 AM,3.893,0.0,,,,
312,12.02.22 04:50:00 AM,3.788,0.0,,,,
313,12.02.22 05:00:00 AM,3.788,0.0,,,,
314,12.02.22 05:10:00 AM,3.788,0.0,,,,
315,12.02.22 05:20:00 AM,3.683,0.0,,,,
316,12.02.22 05:30:00 AM,3.788,0.0,,,,
317,12.02.22 05:40:00 AM,3.788,0.0,,,,
318,12.02.22 05:50:00 AM,3.893,0.0,,,,
319,12.02.22 06:00:00 AM,4.102,0.0,,,,
320,12.02.22 06:10:00 AM,3.998,0.0,,,,
321,12.02.22 06:20:00 AM,3.998,0.0,,,,
322,12.02.22 06:30:00 AM,3.998,0.0,,,,
323,12.02.22 06:40:00 AM,3.893,0.0,,,,
324,12.02.22 06:50:00 AM,3.893,0.0,,,,
325,12.02.22 07:00:00 AM,3.893,0.0,,,,
326,12.02.22 07:10:00 AM,3.893,0.0,,,,
327,12.02.22 07:20:00 AM,3.893,0.0,,,,
328,12.02.22 07:30:00 AM,3.893,0.0,,,,
329,12.02.22 07:40:00 AM,3.998,0.0,,,,
330,12.02.22 07:50:00 AM,3.998,0.0,,,,
331,12.02.22 08:00:00 AM,4.102,0.0,,,,
332,12.02.22 08:10:00 AM,4.102,10.8,,,,
333,12.02.22 08:20:00 AM,4.102,43.1,,,,
334,12.02.22 08:30:00 AM,4.207,96.9,,,,
335,12.02.22 08:40:00 AM,4.207,118.4,,,,
336,12.02.22 08:50:00 AM,4.102,150.7,,,,
337,12.02.22 09:00:00 AM,4.102,226.0,,,,
338,12.02.22 09:10:00 AM,4.207,258.3,,,,
339,12.02.22 09:20:00 AM,4.207,290.6,,,,
340,12.02.22 09:30:00 AM,4.311,452.1,,,,
341,12.02.22 09:40:00 AM,4.415,527.4,,,,
342,12.02.22 09:50:00 AM,4.415,592.0,,,,
343,12.02.22 10:00:00 AM,4.519,581.3,,,,
344,12.02.22 10:10:00 AM,4.623,688.9,,,,
345,12.02.22 10:20:00 AM,4.623,731.9,,,,
346,12.02.22 10:30:00 AM,4.727,828.8,,,,
347,12.02.22 10:40:00 AM,4.831,861.1,,,,
348,12.02.22 10:50:00 AM,4.934,839.6,,,,
349,12.02.22 11:00:00 AM,4.934,785.8,,,,
350,12.02.22 11:10:00 AM,4.934,645.8,,,,
351,12.02.22 11:20:00 AM,4.934,656.6,,,,
352,12.02.22 11:30:00 AM,4.831,688.9,,,,
353,12.02.22 11:40:00 AM,4.831,602.8,,,,
354,12.02.22 11:50:00 AM,4.831,613.5,,,,
355,12.02.22 12:00:00 PM,4.831,559.7,,,,
356,12.02.22 12:10:00 PM,4.831,581.3,,,,
357,12.02.22 12:20:00 PM,4.831,592.0,,,,
358,12.02.22 12:30:00 PM,4.934,624.3,,,,
359,12.02.22 12:40:00 PM,4.934,559.7,,,,
360,12.02.22 12:50:00 PM,4.831,430.6,,,,
361,12.02.22 01:00:00 PM,4.727,419.8,,,,
362,12.02.22 01:10:00 PM,4.831,570.5,,,,
363,12.02.22 01:20:00 PM,4.831,570.5,,,,
364,12.02.22 01:30:00 PM,4.934,710.4,,,,
365,12.02.22 01:40:00 PM,5.037,882.6,,,,
366,12.02.22 01:50:00 PM,5.037,990.3,,,,
367,12.02.22 02:00:00 PM,5.141,893.4,,,,
368,12.02.22 02:10:00 PM,5.244,667.4,,,,
369,12.02.22 02:20:00 PM,5.141,505.9,,,,
370,12.02.22 02:30:00 PM,5.037,430.6,,,,
371,12.02.22 02:40:00 PM,4.934,398.3,,,,
372,12.02.22 02:50:00 PM,5.037,613.5,,,,
373,12.02.22 03:00:00 PM,5.347,979.5,,,,
374,12.02.22 03:10:00 PM,5.450,1097.9,,,,
375,12.02.22 03:20:00 PM,5.450,1011.8,,,,
376,12.02.22 03:30:00 PM,5.450,775.0,,,,
377,12.02.22 03:40:00 PM,5.552,818.1,,,,
378,12.02.22 03:50:00 PM,5.552,775.0,,,,
379,12.02.22 04:00:00 PM,5.450,570.5,,,,
380,12.02.22 04:10:00 PM,5.347,452.1,,,,
381,12.02.22 04:20:00 PM,5.244,430.6,,,,
382,12.02.22 04:30:00 PM,5.037,215.3,,,,
383,12.02.22 04:40:00 PM,4.831,43.1,,,,
384,12.02.22 04:50:00 PM,4.727,10.8,,,,
385,12.02.22 05:00:00 PM,4.831,0.0,,,,
386,12.02.22 05:10:00 PM,4.831,0.0,,,,
387,12.02.22 05:20:00 PM,4.831,0.0,,,,
388,12.02.22 05:30:00 PM,4.831,0.0,,,,
389,12.02.22 05:40:00 PM,4.831,0.0,,,,
390,12.02.22 05:50:00 PM,4.831,0.0,,,,
391,12.02.22 06:00:00 PM,4.831,0.0,,,,
392,12.02.22 06:10:00 PM,4.831,0.0,,,,
393,12.02.22 06:20:00 PM,4.519,0.0,,,,
394,12.02.22 06:30:00 PM,4.519,0.0,,,,
395,12.02.22 06:40:00 PM,4.519,0.0,,,,
396,12.02.22 06:50:00 PM,4.623,0.0,,,,
397,12.02.22 07:00:00 PM,4.623,0.0,,,,
398,12.02.22 07:10:00 PM,4.519,0.0,,,,
399,12.02.22 07:20:00 PM,4.623,0.0,,,,
400,12.02.22 07:30:00 PM,4.519,0.0,,,,
401,12.02.22 07:40:00 PM,4.415,0.0,,,,
402,12.02.22 07:50:00 PM,4.519,0.0,,,,
403,12.02.22 08:00:00 PM,4.727,0.0,,,,
404,12.02.22 08:10:00 PM,4.623,0.0,,,,
405,12.02.22 08:20:00 PM,4.727,0.0,,,,
406,12.02.22 08:30:00 PM,4.727,0.0,,,,
407,12.02.22 08:40:00 PM,4.831,0.0,,,,
408,12.02.22 08:50:00 PM,4.727,0.0,,,,
409,12.02.22 09:00:00 PM,4.623,0.0,,,,
410,12.02.22 09:10:00 PM,4.519,0.0,,,,
411,12.02.22 09:20:00 PM,4.415,0.0,,,,
412,12.02.22 09:30:00 PM,4.415,0.0,,,,
413,12.02.22 09:40:00 PM,4.415,0.0,,,,
414,12.02.22 09:50:00 PM,4.415,0.0,,,,
415,12.02.22 10:00:00 PM,4.415,0.0,,,,
416,12.02.22 10:10:00 PM,4.311,0.0,,,,
417,12.02.22 10:20:00 PM,4.519,0.0,,,,
418,12.02.22 10:30:00 PM,4.519,0.0,,,,
419,12.02.22 10:40:00 PM,4.519,0.0,,,,
420,12.02.22 10:50:00 PM,4.415,0.0,,,,
421,12.02.22 11:00:00 PM,4.519,0.0,,,,
422,12.02.22 11:10:00 PM,4.519,0.0,,,,
423,12.02.22 11:20:00 PM,4.519,0.0,,,,
424,12.02.22 11:30:00 PM,4.415,0.0,,,,
425,12.02.22 11:40:00 PM,4.311,0.0,,,,
426,12.02.22 11:50:00 PM,4.311,0.0,,,,
427,12.03.22 12:00:00 AM,4.207,0.0,,,,
