"Plot-Titel: 10347367"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10347367, SEN S/N: 10347367)","Intensität, Lux (LGR S/N: 10347367, SEN S/N: 10347367)","Dateiende (LGR S/N: 10347367)"
313,11.30.22 01:52:00 AM,19.948,0.0,
314,11.30.22 01:52:10 AM,19.948,0.0,
315,11.30.22 01:52:20 AM,19.948,0.0,
316,11.30.22 01:52:30 AM,19.948,0.0,
317,11.30.22 01:52:40 AM,19.948,0.0,
318,11.30.22 01:52:50 AM,19.948,0.0,
319,11.30.22 01:53:00 AM,19.948,0.0,
320,11.30.22 01:53:10 AM,19.948,0.0,
321,11.30.22 01:53:20 AM,19.948,0.0,
322,11.30.22 01:53:30 AM,19.948,0.0,
323,11.30.22 01:53:40 AM,19.948,0.0,
324,11.30.22 01:53:50 AM,19.948,0.0,
325,11.30.22 01:54:00 AM,19.948,0.0,
326,11.30.22 01:54:10 AM,19.948,0.0,
327,11.30.22 01:54:20 AM,19.948,0.0,
328,11.30.22 01:54:30 AM,19.948,0.0,
329,11.30.22 01:54:40 AM,19.948,0.0,
330,11.30.22 01:54:50 AM,19.948,0.0,
331,11.30.22 01:55:00 AM,19.948,0.0,
332,11.30.22 01:55:10 AM,19.948,0.0,
333,11.30.22 01:55:20 AM,19.948,0.0,
334,11.30.22 01:55:30 AM,19.948,0.0,
335,11.30.22 01:55:40 AM,19.948,0.0,
336,11.30.22 01:55:50 AM,19.948,0.0,
337,11.30.22 01:56:00 AM,19.948,0.0,
338,11.30.22 01:56:10 AM,19.948,0.0,
339,11.30.22 01:56:20 AM,19.948,0.0,
340,11.30.22 01:56:30 AM,19.948,0.0,
341,11.30.22 01:56:40 AM,19.948,0.0,
342,11.30.22 01:56:50 AM,19.948,0.0,
343,11.30.22 01:57:00 AM,19.948,0.0,
344,11.30.22 01:57:10 AM,19.948,0.0,
345,11.30.22 01:57:20 AM,19.948,0.0,
346,11.30.22 01:57:30 AM,19.948,0.0,
347,11.30.22 01:57:40 AM,19.948,0.0,
348,11.30.22 01:57:50 AM,19.948,0.0,
349,11.30.22 01:58:00 AM,19.948,0.0,
350,11.30.22 01:58:10 AM,19.948,0.0,
351,11.30.22 01:58:20 AM,19.948,0.0,
352,11.30.22 01:58:30 AM,19.948,0.0,
353,11.30.22 01:58:40 AM,19.948,0.0,
354,11.30.22 01:58:50 AM,19.948,0.0,
355,11.30.22 01:59:00 AM,19.948,0.0,
356,11.30.22 01:59:10 AM,19.948,0.0,
357,11.30.22 01:59:20 AM,19.948,0.0,
358,11.30.22 01:59:30 AM,19.948,0.0,
359,11.30.22 01:59:40 AM,19.948,0.0,
360,11.30.22 01:59:50 AM,19.948,0.0,
361,11.30.22 02:00:00 AM,19.948,0.0,
362,11.30.22 02:00:10 AM,19.948,0.0,
363,11.30.22 02:00:20 AM,19.948,0.0,
364,11.30.22 02:00:30 AM,19.948,0.0,
365,11.30.22 02:00:40 AM,19.948,0.0,
366,11.30.22 02:00:50 AM,19.948,0.0,
367,11.30.22 02:01:00 AM,19.948,0.0,
368,11.30.22 02:01:10 AM,19.948,0.0,
369,11.30.22 02:01:20 AM,19.948,0.0,
370,11.30.22 02:01:30 AM,19.948,0.0,
371,11.30.22 02:01:40 AM,19.948,0.0,
372,11.30.22 02:01:50 AM,19.948,0.0,
373,11.30.22 02:02:00 AM,19.948,0.0,
374,11.30.22 02:02:10 AM,19.948,0.0,
375,11.30.22 02:02:20 AM,19.948,0.0,
376,11.30.22 02:02:30 AM,19.948,0.0,
