date	hr	th	origin
2019-01-05	1	2.642	H
2019-01-05	2	3.308	R
2019-01-05	3	2.748	H
2019-01-05	4	2.73	H
2019-01-05	5	2.695	H
2019-01-05	6	2.73	H
2019-01-05	7	2.517	H
2019-01-05	8	2.106	H
2019-01-05	9	2.303	H
2019-01-05	10	2.446	H
2019-01-05	11	2.642	H
2019-01-05	12	3.061	R
2019-01-05	13	2.837	H
2019-01-05	14	3.031	H
2019-01-05	15	3.279	H
2019-01-05	16	3.56	H
2019-01-05	17	3.454	H
2019-01-05	18	3.472	H
2019-01-05	19	3.7	H
2019-01-05	20	3.84	H
2019-01-05	21	3.91	H
2019-01-05	22	4.709	R
2019-01-05	23	4.189	H
2019-01-06	0	4.12	H
2019-01-06	1	4.207	H
2019-01-06	2	4.379	R
2019-01-06	3	4.242	H
2019-01-06	4	4.544	R
2019-01-06	5	4.544	R
2019-01-06	6	4.544	R
2019-01-06	7	4.462	R
2019-01-06	8	4.627	R
2019-01-06	9	4.71	H
2019-01-06	10	5.295	H
2019-01-06	11	5.706	H
2019-01-06	12	5.945	H
2019-01-06	13	5.203	R
2019-01-06	14	5.433	H
2019-01-06	15	5.296	H
2019-01-06	16	5.037	H
2019-01-06	17	4.791	R
2019-01-06	18	4.484	H
2019-01-06	19	4.137	H
2019-01-06	20	4.627	R
2019-01-06	21	4.137	H
2019-01-06	22	4.311	H
2019-01-06	23	4.544	R
