Tag;Stunde;AVG_TA200
02.01.2022;05:00;5,47
02.01.2022;06:00;6,03
02.01.2022;07:00;6,99
02.01.2022;08:00;5,27
02.01.2022;09:00;6,21
02.01.2022;10:00;12,97
02.01.2022;11:00;13,74
02.01.2022;12:00;14,85
02.01.2022;13:00;15,71
02.01.2022;14:00;16,46
02.01.2022;15:00;16,21
02.01.2022;16:00;15,61
02.01.2022;17:00;15,13
02.01.2022;18:00;14,46
02.01.2022;19:00;14,07
02.01.2022;20:00;13,35
02.01.2022;21:00;12,82
02.01.2022;22:00;12,55
02.01.2022;23:00;12,6
03.01.2022;00:00;12,43
03.01.2022;01:00;12,15
03.01.2022;02:00;12,03
03.01.2022;03:00;11,9
03.01.2022;04:00;11,65
03.01.2022;05:00;11,47
03.01.2022;06:00;11,26
03.01.2022;07:00;11,14
03.01.2022;08:00;11,07
03.01.2022;09:00;11,2
03.01.2022;10:00;11,33
03.01.2022;11:00;11,47
03.01.2022;12:00;11,53
03.01.2022;13:00;11,77
03.01.2022;14:00;11,94
03.01.2022;15:00;12,02
03.01.2022;16:00;12,03
03.01.2022;17:00;11,99
03.01.2022;18:00;11,88
03.01.2022;19:00;12,15
03.01.2022;20:00;12,43
03.01.2022;21:00;12,7
03.01.2022;22:00;13,1
03.01.2022;23:00;13,08
04.01.2022;00:00;12,94
04.01.2022;01:00;12,79
04.01.2022;02:00;13,28
04.01.2022;03:00;13,59
04.01.2022;04:00;13,29
04.01.2022;05:00;12,24
04.01.2022;06:00;12,63
04.01.2022;07:00;14,36
04.01.2022;08:00;15,59
04.01.2022;09:00;15,57
04.01.2022;10:00;16,08
04.01.2022;11:00;16,55
04.01.2022;12:00;15,52
04.01.2022;13:00;13,55
04.01.2022;14:00;12,13
04.01.2022;15:00;12,13
04.01.2022;16:00;12,2
04.01.2022;17:00;9,59
04.01.2022;18:00;7,41
04.01.2022;19:00;6,7
04.01.2022;20:00;5,77
04.01.2022;21:00;5,1
04.01.2022;22:00;4,66
04.01.2022;23:00;4,74
05.01.2022;00:00;5,13
05.01.2022;01:00;5,65
05.01.2022;02:00;6,07
05.01.2022;03:00;6,18
05.01.2022;04:00;5,91
05.01.2022;05:00;5,58
05.01.2022;06:00;4,4
05.01.2022;07:00;3,97
05.01.2022;08:00;3,27
05.01.2022;09:00;2,81
05.01.2022;10:00;2,98
05.01.2022;11:00;2,93
05.01.2022;12:00;3,53
05.01.2022;13:00;3,75
05.01.2022;14:00;3,95
05.01.2022;15:00;3,79
05.01.2022;16:00;3,48
05.01.2022;17:00;2,9
05.01.2022;18:00;2,37
05.01.2022;19:00;2,44
05.01.2022;20:00;2,52
05.01.2022;21:00;2,51
05.01.2022;22:00;2,61
05.01.2022;23:00;2,52
06.01.2022;00:00;2,6
06.01.2022;01:00;2,39
06.01.2022;02:00;1,93
06.01.2022;03:00;1,54
06.01.2022;04:00;1,54
06.01.2022;05:00;1,51
06.01.2022;06:00;1,62
06.01.2022;07:00;1,49
06.01.2022;08:00;1,55
06.01.2022;09:00;1,5
06.01.2022;10:00;2,04
06.01.2022;11:00;1,86
06.01.2022;12:00;2,54
06.01.2022;13:00;3,32
06.01.2022;14:00;3,43
06.01.2022;15:00;3,4
06.01.2022;16:00;2,78
06.01.2022;17:00;1,72
06.01.2022;18:00;1,03
06.01.2022;19:00;0,85
06.01.2022;20:00;0,67
06.01.2022;21:00;-0,27
06.01.2022;22:00;-0,7
06.01.2022;23:00;-0,95
07.01.2022;00:00;-1,01
07.01.2022;01:00;-1,38
07.01.2022;02:00;-1,44
07.01.2022;03:00;-1,02
07.01.2022;04:00;-1,02
07.01.2022;05:00;-1,15
07.01.2022;06:00;-0,94
07.01.2022;07:00;-0,74
07.01.2022;08:00;0,63
07.01.2022;09:00;1,9
07.01.2022;10:00;2,78
07.01.2022;11:00;2,8
07.01.2022;12:00;2,58
07.01.2022;13:00;2,65
07.01.2022;14:00;2,83
07.01.2022;15:00;2,52
07.01.2022;16:00;3,18
07.01.2022;17:00;2,15
07.01.2022;18:00;2,15
07.01.2022;19:00;2,38
07.01.2022;20:00;2,75
07.01.2022;21:00;3,32
07.01.2022;22:00;3,52
07.01.2022;23:00;4,06
08.01.2022;00:00;4,85
08.01.2022;01:00;4,93
08.01.2022;02:00;3,71
08.01.2022;03:00;3,79
08.01.2022;04:00;3,79
08.01.2022;05:00;3,53
08.01.2022;06:00;3,18
08.01.2022;07:00;2,6
08.01.2022;08:00;2,2
08.01.2022;09:00;2,46
08.01.2022;10:00;2,76
08.01.2022;11:00;3,51
08.01.2022;12:00;3,83
08.01.2022;13:00;4,13
08.01.2022;14:00;4,45
08.01.2022;15:00;5,04
08.01.2022;16:00;5,29
08.01.2022;17:00;5,71
08.01.2022;18:00;5,81
08.01.2022;19:00;6,44
08.01.2022;20:00;7,04
08.01.2022;21:00;7
08.01.2022;22:00;7,25
08.01.2022;23:00;7,26
09.01.2022;00:00;6,2
09.01.2022;01:00;7,14
09.01.2022;02:00;7,08
09.01.2022;03:00;6,18
09.01.2022;04:00;4,74
09.01.2022;05:00;3,83
09.01.2022;06:00;3,87
09.01.2022;07:00;3,74
09.01.2022;08:00;3,72
09.01.2022;09:00;3,7
09.01.2022;10:00;3,97
09.01.2022;11:00;4,3
09.01.2022;12:00;3,85
09.01.2022;13:00;4,67
09.01.2022;14:00;5,06
09.01.2022;15:00;4,72
09.01.2022;16:00;4,44
09.01.2022;17:00;3,98
09.01.2022;18:00;4,05
09.01.2022;19:00;3,91
09.01.2022;20:00;3,42
09.01.2022;21:00;3,15
09.01.2022;22:00;2,99
09.01.2022;23:00;1,91
