"Plot Title: 10350004"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350004, SEN S/N: 10350004)","Intensity, Lux (LGR S/N: 10350004, SEN S/N: 10350004)","Good Battery (LGR S/N: 10350004)","Coupler Attached (LGR S/N: 10350004)","Host Connected (LGR S/N: 10350004)","Stopped (LGR S/N: 10350004)","End Of File (LGR S/N: 10350004)"
174,12/15/2019 04:50:00 AM,13.076,0.0,,,,,
175,12/15/2019 05:00:00 AM,13.076,0.0,,,,,
176,12/15/2019 05:10:00 AM,12.980,0.0,,,,,
177,12/15/2019 05:20:00 AM,12.980,0.0,,,,,
178,12/15/2019 05:30:00 AM,12.980,0.0,,,,,
179,12/15/2019 05:40:00 AM,12.980,0.0,,,,,
180,12/15/2019 05:50:00 AM,13.173,0.0,,,,,
181,12/15/2019 06:00:00 AM,13.269,0.0,,,,,
182,12/15/2019 06:10:00 AM,13.365,0.0,,,,,
183,12/15/2019 06:20:00 AM,13.461,0.0,,,,,
184,12/15/2019 06:30:00 AM,13.461,0.0,,,,,
185,12/15/2019 06:40:00 AM,13.365,0.0,,,,,
186,12/15/2019 06:50:00 AM,13.461,0.0,,,,,
187,12/15/2019 07:00:00 AM,13.461,0.0,,,,,
188,12/15/2019 07:10:00 AM,13.365,0.0,,,,,
189,12/15/2019 07:20:00 AM,13.558,0.0,,,,,
190,12/15/2019 07:30:00 AM,13.558,0.0,,,,,
191,12/15/2019 07:40:00 AM,13.558,0.0,,,,,
192,12/15/2019 07:50:00 AM,13.558,0.0,,,,,
193,12/15/2019 08:00:00 AM,13.558,21.5,,,,,
194,12/15/2019 08:10:00 AM,13.654,32.3,,,,,
195,12/15/2019 08:20:00 AM,13.750,53.8,,,,,
196,12/15/2019 08:30:00 AM,13.750,107.6,,,,,
197,12/15/2019 08:40:00 AM,13.654,193.8,,,,,
198,12/15/2019 08:50:00 AM,13.654,441.3,,,,,
199,12/15/2019 09:00:00 AM,13.654,742.7,,,,,
200,12/15/2019 09:10:00 AM,13.558,775.0,,,,,
201,12/15/2019 09:20:00 AM,13.654,1894.5,,,,,
202,12/15/2019 09:30:00 AM,13.846,1259.4,,,,,
203,12/15/2019 09:40:00 AM,13.846,796.5,,,,,
204,12/15/2019 09:50:00 AM,13.942,731.9,,,,,
205,12/15/2019 10:00:00 AM,14.038,1324.0,,,,,
206,12/15/2019 10:10:00 AM,14.134,2238.9,,,,,
207,12/15/2019 10:20:00 AM,14.230,1722.2,,,,,
208,12/15/2019 10:30:00 AM,14.230,1636.1,,,,,
209,12/15/2019 10:40:00 AM,14.230,1377.8,,,,,
210,12/15/2019 10:50:00 AM,14.325,3100.0,,,,,
211,12/15/2019 11:00:00 AM,14.230,2325.0,,,,,
212,12/15/2019 11:10:00 AM,14.230,1808.3,,,,,
213,12/15/2019 11:20:00 AM,14.134,1894.5,,,,,
214,12/15/2019 11:30:00 AM,14.038,1808.3,,,,,
215,12/15/2019 11:40:00 AM,14.134,2066.7,,,,,
216,12/15/2019 11:50:00 AM,14.038,2066.7,,,,,
217,12/15/2019 12:00:00 PM,14.134,1980.6,,,,,
218,12/15/2019 12:10:00 PM,14.134,1636.1,,,,,
219,12/15/2019 12:20:00 PM,14.134,1808.3,,,,,
220,12/15/2019 12:30:00 PM,14.038,1894.5,,,,,
221,12/15/2019 12:40:00 PM,14.038,1065.6,,,,,
222,12/15/2019 12:50:00 PM,13.750,1076.4,,,,,
223,12/15/2019 01:00:00 PM,13.750,1011.8,,,,,
224,12/15/2019 01:10:00 PM,13.846,1550.0,,,,,
225,12/15/2019 01:20:00 PM,13.750,1151.7,,,,,
226,12/15/2019 01:30:00 PM,13.461,1087.2,,,,,
227,12/15/2019 01:40:00 PM,13.269,1044.1,,,,,
228,12/15/2019 01:50:00 PM,13.173,968.8,,,,,
229,12/15/2019 02:00:00 PM,13.076,731.9,,,,,
230,12/15/2019 02:10:00 PM,12.980,968.8,,,,,
231,12/15/2019 02:20:00 PM,12.980,1087.2,,,,,
232,12/15/2019 02:30:00 PM,12.980,1011.8,,,,,
233,12/15/2019 02:40:00 PM,12.980,1227.1,,,,,
234,12/15/2019 02:50:00 PM,12.980,904.2,,,,,
