id	date	time	temp	lux
312	2017-12-16	01:55:00	5.552	0
313	2017-12-16	02:00:00	5.552	0
314	2017-12-16	02:05:00	5.45	0
315	2017-12-16	02:10:00	5.347	0
316	2017-12-16	02:15:00	5.347	0
317	2017-12-16	02:20:00	5.244	0
318	2017-12-16	02:25:00	5.244	0
319	2017-12-16	02:30:00	5.244	0
320	2017-12-16	02:35:00	5.244	0
321	2017-12-16	02:40:00	5.244	0
322	2017-12-16	02:45:00	5.244	0
323	2017-12-16	02:50:00	5.141	0
324	2017-12-16	02:55:00	5.244	0
325	2017-12-16	03:00:00	5.347	0
326	2017-12-16	03:05:00	5.347	0
327	2017-12-16	03:10:00	5.244	0
328	2017-12-16	03:15:00	5.141	0
329	2017-12-16	03:20:00	5.141	0
330	2017-12-16	03:25:00	5.244	0
331	2017-12-16	03:30:00	5.141	0
332	2017-12-16	03:35:00	5.141	0
333	2017-12-16	03:40:00	4.934	0
334	2017-12-16	03:45:00	5.037	0
335	2017-12-16	03:50:00	4.934	0
336	2017-12-16	03:55:00	4.831	0
337	2017-12-16	04:00:00	4.934	0
338	2017-12-16	04:05:00	4.831	0
339	2017-12-16	04:10:00	4.831	0
340	2017-12-16	04:15:00	4.727	0
341	2017-12-16	04:20:00	4.727	0
342	2017-12-16	04:25:00	4.727	0
343	2017-12-16	04:30:00	4.727	0
344	2017-12-16	04:35:00	4.727	0
345	2017-12-16	04:40:00	4.623	0
346	2017-12-16	04:45:00	4.727	0
347	2017-12-16	04:50:00	4.519	0
348	2017-12-16	04:55:00	4.415	0
349	2017-12-16	05:00:00	4.519	0
350	2017-12-16	05:05:00	4.415	0
351	2017-12-16	05:10:00	4.415	0
352	2017-12-16	05:15:00	4.415	0
353	2017-12-16	05:20:00	4.207	0
354	2017-12-16	05:25:00	4.102	0
355	2017-12-16	05:30:00	3.998	0
356	2017-12-16	05:35:00	3.998	0
357	2017-12-16	05:40:00	3.893	0
358	2017-12-16	05:45:00	3.893	0
359	2017-12-16	05:50:00	3.893	0
360	2017-12-16	05:55:00	3.998	0
361	2017-12-16	06:00:00	3.998	0
362	2017-12-16	06:05:00	3.998	0
363	2017-12-16	06:10:00	4.102	0
364	2017-12-16	06:15:00	3.998	0
365	2017-12-16	06:20:00	3.998	0
366	2017-12-16	06:25:00	3.998	0
367	2017-12-16	06:30:00	3.893	0
368	2017-12-16	06:35:00	3.893	0
369	2017-12-16	06:40:00	3.998	0
370	2017-12-16	06:45:00	4.102	0
371	2017-12-16	06:50:00	4.102	0
372	2017-12-16	06:55:00	3.998	0
373	2017-12-16	07:00:00	4.102	0
374	2017-12-16	07:05:00	4.207	0
375	2017-12-16	07:10:00	4.207	0
376	2017-12-16	07:15:00	4.102	0
377	2017-12-16	07:20:00	4.102	0
378	2017-12-16	07:25:00	3.893	0
379	2017-12-16	07:30:00	3.683	0
380	2017-12-16	07:35:00	3.788	0
381	2017-12-16	07:40:00	3.788	0
382	2017-12-16	07:45:00	3.893	0
383	2017-12-16	07:50:00	4.102	0
384	2017-12-16	07:55:00	4.311	0
385	2017-12-16	08:00:00	4.311	0
386	2017-12-16	08:05:00	4.102	0
387	2017-12-16	08:10:00	3.998	0
388	2017-12-16	08:15:00	4.311	0
389	2017-12-16	08:20:00	4.102	0
390	2017-12-16	08:25:00	3.998	10.8
391	2017-12-16	08:30:00	3.893	21.5
392	2017-12-16	08:35:00	3.998	43.1
393	2017-12-16	08:40:00	4.102	64.6
394	2017-12-16	08:45:00	4.102	75.3
395	2017-12-16	08:50:00	4.207	64.6
396	2017-12-16	08:55:00	4.102	53.8
397	2017-12-16	09:00:00	4.102	75.3
398	2017-12-16	09:05:00	3.998	118.4
399	2017-12-16	09:10:00	3.998	161.5
400	2017-12-16	09:15:00	3.998	139.9
401	2017-12-16	09:20:00	4.102	172.2
402	2017-12-16	09:25:00	4.102	215.3
403	2017-12-16	09:30:00	4.207	161.5
404	2017-12-16	09:35:00	4.102	150.7
405	2017-12-16	09:40:00	4.207	204.5
406	2017-12-16	09:45:00	4.102	279.9
407	2017-12-16	09:50:00	3.998	279.9
408	2017-12-16	09:55:00	3.788	172.2
409	2017-12-16	10:00:00	3.578	161.5
410	2017-12-16	10:05:00	3.578	161.5
411	2017-12-16	10:10:00	3.472	150.7
412	2017-12-16	10:15:00	3.367	161.5
413	2017-12-16	10:20:00	3.367	129.2
414	2017-12-16	10:25:00	3.472	139.9
415	2017-12-16	10:30:00	3.472	139.9
416	2017-12-16	10:35:00	3.367	172.2
417	2017-12-16	10:40:00	3.367	258.3
418	2017-12-16	10:45:00	3.578	236.8
419	2017-12-16	10:50:00	3.683	215.3
420	2017-12-16	10:55:00	3.683	269.1
421	2017-12-16	11:00:00	3.788	419.8
422	2017-12-16	11:05:00	3.893	473.6
423	2017-12-16	11:10:00	3.893	581.3
424	2017-12-16	11:15:00	3.788	452.1
425	2017-12-16	11:20:00	3.788	409
426	2017-12-16	11:25:00	3.788	549
427	2017-12-16	11:30:00	3.893	387.5
428	2017-12-16	11:35:00	3.472	279.9
429	2017-12-16	11:40:00	3.367	172.2
430	2017-12-16	11:45:00	3.261	226
431	2017-12-16	11:50:00	3.155	344.4
432	2017-12-16	11:55:00	3.155	592
433	2017-12-16	12:00:00	3.261	656.6
434	2017-12-16	12:05:00	3.155	430.6
435	2017-12-16	12:10:00	3.049	398.3
436	2017-12-16	12:15:00	2.943	387.5
437	2017-12-16	12:20:00	2.943	366
438	2017-12-16	12:25:00	2.837	387.5
439	2017-12-16	12:30:00	2.624	419.8
440	2017-12-16	12:35:00	2.624	602.8
441	2017-12-16	12:40:00	2.624	645.8
442	2017-12-16	12:45:00	2.73	699.7
443	2017-12-16	12:50:00	2.943	1065.6
444	2017-12-16	12:55:00	2.943	710.4
445	2017-12-16	13:00:00	3.049	990.3
446	2017-12-16	13:05:00	3.049	882.6
447	2017-12-16	13:10:00	2.943	538.2
448	2017-12-16	13:15:00	2.943	549
449	2017-12-16	13:20:00	3.155	742.7
450	2017-12-16	13:25:00	3.049	1173.3
451	2017-12-16	13:30:00	3.367	1636.1
452	2017-12-16	13:35:00	3.261	1345.5
453	2017-12-16	13:40:00	3.472	1463.9
454	2017-12-16	13:45:00	3.683	1248.6
455	2017-12-16	13:50:00	3.788	818.1
456	2017-12-16	13:55:00	3.893	678.1
457	2017-12-16	14:00:00	3.893	592
458	2017-12-16	14:05:00	3.998	624.3
459	2017-12-16	14:10:00	3.998	624.3
460	2017-12-16	14:15:00	3.893	592
