"Plot Title: Experiment"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347321, SEN S/N: 10347321)","Intensity, Lux (LGR S/N: 10347321, SEN S/N: 10347321)","Bad Battery (LGR S/N: 10347321)","Coupler Attached (LGR S/N: 10347321)","Host Connected (LGR S/N: 10347321)","Stopped (LGR S/N: 10347321)","End Of File (LGR S/N: 10347321)"
361,13/12/2021 13:00:00,7.882,4822.3,,,,,
362,13/12/2021 13:10:00,8.282,4994.5,,,,,
363,13/12/2021 13:20:00,8.779,5166.7,,,,,
364,13/12/2021 13:30:00,8.779,5166.7,,,,,
365,13/12/2021 13:40:00,8.978,5166.7,,,,,
366,13/12/2021 13:50:00,8.978,4994.5,,,,,
367,13/12/2021 14:00:00,9.077,4822.3,,,,,
368,13/12/2021 14:10:00,8.879,4477.8,,,,,
369,13/12/2021 14:20:00,8.680,4133.4,,,,,
370,13/12/2021 14:30:00,8.680,3961.1,,,,,
371,13/12/2021 14:40:00,8.481,3788.9,,,,,
372,13/12/2021 14:50:00,8.382,3272.2,,,,,
373,13/12/2021 15:00:00,8.382,3100.0,,,,,
374,13/12/2021 15:10:00,8.282,2755.6,,,,,
375,13/12/2021 15:20:00,8.182,2583.4,,,,,
376,13/12/2021 15:30:00,8.182,2238.9,,,,,
377,13/12/2021 15:40:00,8.182,1894.5,,,,,
378,13/12/2021 15:50:00,7.983,1636.1,,,,,
379,13/12/2021 16:00:00,7.582,1291.7,,,,,
380,13/12/2021 16:10:00,7.280,936.5,,,,,
381,13/12/2021 16:20:00,7.079,602.8,,,,,
382,13/12/2021 16:30:00,6.877,344.4,,,,,
383,13/12/2021 16:40:00,6.471,150.7,,,,,
384,13/12/2021 16:50:00,6.166,64.6,,,,,
385,13/12/2021 17:00:00,6.064,10.8,,,,,
386,13/12/2021 17:10:00,5.962,0.0,,,,,
387,13/12/2021 17:20:00,5.860,0.0,,,,,
388,13/12/2021 17:30:00,6.064,0.0,,,,,
389,13/12/2021 17:40:00,5.962,0.0,,,,,
390,13/12/2021 17:50:00,5.757,0.0,,,,,
391,13/12/2021 18:00:00,5.757,0.0,,,,,
392,13/12/2021 18:10:00,5.757,0.0,,,,,
393,13/12/2021 18:20:00,5.860,0.0,,,,,
394,13/12/2021 18:30:00,5.655,0.0,,,,,
395,13/12/2021 18:40:00,5.347,0.0,,,,,
396,13/12/2021 18:50:00,5.244,0.0,,,,,
397,13/12/2021 19:00:00,4.934,0.0,,,,,
398,13/12/2021 19:10:00,4.831,0.0,,,,,
399,13/12/2021 19:20:00,4.727,0.0,,,,,
400,13/12/2021 19:30:00,4.831,0.0,,,,,
401,13/12/2021 19:40:00,4.831,0.0,,,,,
402,13/12/2021 19:50:00,4.727,0.0,,,,,
403,13/12/2021 20:00:00,4.623,0.0,,,,,
404,13/12/2021 20:10:00,4.311,0.0,,,,,
405,13/12/2021 20:20:00,4.207,0.0,,,,,
406,13/12/2021 20:30:00,4.102,0.0,,,,,
407,13/12/2021 20:40:00,3.998,0.0,,,,,
408,13/12/2021 20:50:00,4.102,0.0,,,,,
409,13/12/2021 21:00:00,4.102,0.0,,,,,
410,13/12/2021 21:10:00,4.102,0.0,,,,,
411,13/12/2021 21:20:00,4.102,0.0,,,,,
412,13/12/2021 21:30:00,4.207,0.0,,,,,
413,13/12/2021 21:40:00,4.207,0.0,,,,,
414,13/12/2021 21:50:00,3.788,0.0,,,,,
415,13/12/2021 22:00:00,3.998,0.0,,,,,
416,13/12/2021 22:10:00,3.788,0.0,,,,,
417,13/12/2021 22:20:00,3.683,0.0,,,,,
418,13/12/2021 22:30:00,3.578,0.0,,,,,
419,13/12/2021 22:40:00,3.683,0.0,,,,,
420,13/12/2021 22:50:00,3.788,0.0,,,,,
421,13/12/2021 23:00:00,3.683,0.0,,,,,
422,13/12/2021 23:10:00,3.788,0.0,,,,,
423,13/12/2021 23:20:00,3.155,0.0,,,,,
424,13/12/2021 23:30:00,2.837,0.0,,,,,
425,13/12/2021 23:40:00,3.049,0.0,,,,,
426,13/12/2021 23:50:00,3.578,0.0,,,,,
427,14/12/2021 00:00:00,3.683,0.0,,,,,
428,14/12/2021 00:10:00,3.998,0.0,,,,,
429,14/12/2021 00:20:00,3.788,0.0,,,,,
430,14/12/2021 00:30:00,3.472,0.0,,,,,
431,14/12/2021 00:40:00,3.472,0.0,,,,,
432,14/12/2021 00:50:00,3.261,0.0,,,,,
433,14/12/2021 01:00:00,2.943,0.0,,,,,
434,14/12/2021 01:10:00,2.730,0.0,,,,,
435,14/12/2021 01:20:00,2.410,0.0,,,,,
436,14/12/2021 01:30:00,2.517,0.0,,,,,
