dttm,th,pred
2021-12-24 00:00:00,10.569,10.7350875674071
2021-12-24 01:00:00,10.112,10.4563438125196
2021-12-24 02:00:00,9.932,10.1295407895482
2021-12-24 03:00:00,10.194,10.139152643165
2021-12-24 04:00:00,10.063,9.88924444912798
2021-12-24 05:00:00,9.965,9.87963259551117
2021-12-24 06:00:00,9.834,9.62972440147417
2021-12-24 07:00:00,9.455,9.28369767126908
2021-12-24 08:00:00,9.010,8.63009162532615
2021-12-24 09:00:00,8.215,7.86114333598153
2021-12-24 10:00:00,8.431,7.91881445768237
2021-12-24 11:00:00,8.614,8.15911079810257
2021-12-24 12:00:00,9.011,8.5628086500085
2021-12-24 13:00:00,9.242,8.91844723383039
2021-12-24 14:00:00,9.307,8.95689464829762
2021-12-24 15:00:00,9.291,9.15874357425058
2021-12-24 16:00:00,9.604,9.4182636219044
2021-12-24 17:00:00,9.768,9.71623108402544
2021-12-24 18:00:00,9.653,9.88924444912798
2021-12-24 19:00:00,9.850,10.0430341069969
2021-12-24 20:00:00,10.046,9.83157332742713
2021-12-24 21:00:00,9.850,9.68739552317501
2021-12-24 22:00:00,9.373,9.85079703466075
2021-12-24 23:00:00,9.784,9.68739552317501
2021-12-25 00:00:00,10.194,9.96613927806244
2021-12-25 01:00:00,10.373,10.389060837202
2021-12-25 02:00:00,10.667,10.7446994210239
2021-12-25 03:00:00,10.911,10.8984890788928
2021-12-25 04:00:00,10.797,10.7446994210239
2021-12-25 05:00:00,10.667,10.6293571776222
2021-12-25 06:00:00,10.569,10.4947912269869
2021-12-25 07:00:00,10.455,10.4178963980524
2021-12-25 08:00:00,10.418,10.4178963980524
2021-12-25 09:00:00,10.504,10.5044030806037
2021-12-25 10:00:00,10.520,10.5236267878373
2021-12-25 11:00:00,11.057,10.2448830329499
2021-12-25 12:00:00,11.366,10.2160474720994
2021-12-25 13:00:00,11.236,10.0430341069969
2021-12-25 14:00:00,11.204,10.2064356184826
2021-12-25 15:00:00,10.716,10.0622578142305
2021-12-25 16:00:00,9.816,9.50477030445566
2021-12-25 17:00:00,8.978,8.9280590874472
2021-12-25 18:00:00,8.746,8.55319679639169
2021-12-25 19:00:00,8.282,8.35134787043873
2021-12-25 20:00:00,7.949,8.10143967640172
2021-12-25 21:00:00,7.966,7.89959075044876
2021-12-25 22:00:00,7.948,7.9476500185328
2021-12-25 23:00:00,7.899,7.66890626364537
2021-12-26 00:00:00,6.095,7.31326767982348
2021-12-26 01:00:00,4.571,5.736923686667
2021-12-26 02:00:00,3.980,4.58350125265006
2021-12-26 03:00:00,3.683,4.02601374287521
2021-12-26 04:00:00,3.560,3.87222408500628
2021-12-26 05:00:00,3.507,3.73765813437097
2021-12-26 06:00:00,3.490,3.6511514518197
2021-12-26 07:00:00,3.525,3.60309218373566
2021-12-26 08:00:00,3.542,3.74726998798778
2021-12-26 09:00:00,4.032,3.87222408500628
2021-12-26 10:00:00,4.864,4.35281676584667
2021-12-26 11:00:00,5.791,4.78535017860303
2021-12-26 12:00:00,6.640,5.05448207987365
2021-12-26 13:00:00,6.674,5.85226593006869
2021-12-26 14:00:00,6.742,6.36169417175951
2021-12-26 15:00:00,6.843,7.02491207131925
2021-12-26 16:00:00,6.623,7.83230777513111
2021-12-26 17:00:00,6.573,8.27445304150427
2021-12-26 18:00:00,6.471,8.59164421085892
2021-12-26 19:00:00,6.891,8.58203235724211
2021-12-26 20:00:00,8.464,8.61086791809254
2021-12-26 21:00:00,8.614,8.37057157767234
2021-12-26 22:00:00,8.729,8.13027523725215
2021-12-26 23:00:00,8.581,8.0726041155513
2021-12-27 00:00:00,8.945,8.22639377342023
2021-12-27 01:00:00,8.912,8.35134787043873
2021-12-27 02:00:00,8.928,8.3225123095883
2021-12-27 03:00:00,8.746,8.15911079810257
2021-12-27 04:00:00,8.215,7.43822177684198
2021-12-27 05:00:00,6.944,6.95762909600159
2021-12-27 06:00:00,6.927,7.62084699556133
2021-12-27 07:00:00,7.095,6.7173327555814
2021-12-27 08:00:00,6.267,5.69847627219977
2021-12-27 09:00:00,7.930,5.3716732492283
2021-12-27 10:00:00,9.077,6.39052973260993
2021-12-27 11:00:00,9.027,7.39016250875795
2021-12-27 12:00:00,8.514,7.32287953344029
2021-12-27 13:00:00,8.448,7.52472845939326
2021-12-27 14:00:00,8.299,7.75541294619664
2021-12-27 15:00:00,8.399,9.32214508573632
2021-12-27 16:00:00,8.945,9.12029615978335
2021-12-27 17:00:00,9.620,9.57205327977332
2021-12-27 18:00:00,10.030,9.98536298529606
2021-12-27 19:00:00,9.817,9.74506664487586
2021-12-27 20:00:00,10.046,10.0045866925297
2021-12-27 21:00:00,10.112,10.1583763503986
2021-12-27 22:00:00,10.341,10.4178963980524
2021-12-27 23:00:00,10.373,10.5236267878373
2021-12-28 00:00:00,10.112,10.2064356184826
2021-12-28 01:00:00,10.259,10.3121660082675
2021-12-28 02:00:00,10.797,10.6293571776222
2021-12-28 03:00:00,11.236,10.8504298108088
2021-12-28 04:00:00,10.585,9.98536298529606
2021-12-28 05:00:00,10.046,9.50477030445566
2021-12-28 06:00:00,11.123,10.7062520065566
2021-12-28 07:00:00,10.830,10.7927586891079
2021-12-28 08:00:00,10.992,10.9849957614441
2021-12-28 09:00:00,11.592,11.1580091265466
2021-12-28 10:00:00,12.609,11.6097662465366
2021-12-28 11:00:00,13.781,12.0615233665265
2021-12-28 12:00:00,13.365,12.2441485852459
2021-12-28 13:00:00,12.980,12.1191944882274
2021-12-28 14:00:00,12.545,11.8692862941904
2021-12-28 15:00:00,11.592,11.5520951248357
2021-12-28 16:00:00,11.041,10.7062520065566
2021-12-28 17:00:00,10.585,10.4178963980524
2021-12-28 18:00:00,10.439,10.2160474720994
2021-12-28 19:00:00,10.683,10.5428504950709
2021-12-28 20:00:00,10.520,10.389060837202
2021-12-28 21:00:00,10.716,10.3410015691179
2021-12-28 22:00:00,10.635,10.2064356184826
2021-12-28 23:00:00,10.341,10.139152643165
2021-12-29 00:00:00,10.063,9.85079703466075
2021-12-29 01:00:00,9.768,9.59127698700694
2021-12-29 02:00:00,9.653,9.37020435382036
2021-12-29 03:00:00,9.505,9.50477030445566
2021-12-29 04:00:00,9.768,9.43748732913801
2021-12-29 05:00:00,9.702,9.38942806105397
2021-12-29 06:00:00,9.538,9.31253323211951
2021-12-29 07:00:00,9.521,9.38942806105397
2021-12-29 08:00:00,9.653,9.53360586530609
2021-12-29 09:00:00,10.095,9.85079703466075
2021-12-29 10:00:00,9.832,9.40865176828759
2021-12-29 11:00:00,8.730,8.28406489512107
2021-12-29 12:00:00,9.159,8.38979528490596
2021-12-29 13:00:00,9.538,8.71659830787742
2021-12-29 14:00:00,8.995,8.99534206276485
2021-12-29 15:00:00,10.438,10.8023705427247
2021-12-29 16:00:00,11.301,11.5520951248357
2021-12-29 17:00:00,11.900,11.9173455622744
2021-12-29 18:00:00,12.562,12.5613397546006
2021-12-29 19:00:00,13.044,12.8496953631048
2021-12-29 20:00:00,13.574,13.3783473120292
2021-12-29 21:00:00,13.686,13.4071828728796
2021-12-29 22:00:00,13.782,13.387959165646
2021-12-29 23:00:00,13.750,13.3975710192628
2021-12-30 00:00:00,13.590,13.2822287758611
2021-12-30 01:00:00,13.333,13.0707679962914
2021-12-30 02:00:00,13.413,13.2437813613939
2021-12-30 03:00:00,13.686,13.3495117511788
2021-12-30 04:00:00,13.846,13.5033014090477
2021-12-30 05:00:00,14.022,13.5994199452158
2021-12-30 06:00:00,13.253,13.2533932150107
2021-12-30 07:00:00,14.102,13.4648539945805
2021-12-30 08:00:00,14.086,13.637867359683
2021-12-30 09:00:00,14.261,13.7339858958511
2021-12-30 10:00:00,14.772,14.0223415043553
2021-12-30 11:00:00,15.235,14.4068156490277
2021-12-30 12:00:00,15.998,14.8777964762512
2021-12-30 13:00:00,15.871,14.9066320371017
2021-12-30 14:00:00,15.728,14.8970201834849
2021-12-30 15:00:00,15.378,14.4644867707285
2021-12-30 16:00:00,14.660,14.2241904303083
2021-12-30 17:00:00,14.150,13.8781637001032
2021-12-30 18:00:00,13.942,14.1184600405234
2021-12-30 19:00:00,13.654,13.9935059435049
2021-12-30 20:00:00,13.263,13.2630050686275
2021-12-30 21:00:00,12.481,11.8212270261063
2021-12-30 22:00:00,11.851,10.5236267878373
2021-12-30 23:00:00,10.976,10.3313897155011
2021-12-31 00:00:00,9.191,8.88961167297997
2021-12-31 01:00:00,8.165,8.82232869766231
2021-12-31 02:00:00,7.816,8.187946358953
2021-12-31 03:00:00,7.765,7.41899806960837
2021-12-31 04:00:00,7.681,7.75541294619664
2021-12-31 05:00:00,6.986,6.98646465685202
2021-12-31 06:00:00,4.415,6.89995797430075
2021-12-31 07:00:00,4.032,6.16945709942335
2021-12-31 08:00:00,3.805,6.15023339218974
2021-12-31 09:00:00,6.131,5.90993705176954
2021-12-31 10:00:00,8.180,7.71696553172941
2021-12-31 11:00:00,9.406,9.93730371721202
2021-12-31 12:00:00,11.446,11.5040358567517
2021-12-31 13:00:00,12.157,12.3018197069467
2021-12-31 14:00:00,15.579,15.5794617902782
2021-12-31 15:00:00,16.237,16.040830763885
2021-12-31 16:00:00,14.931,15.1084809630546
2021-12-31 17:00:00,14.038,14.3106971128596
2021-12-31 18:00:00,13.493,14.0511770652058
2021-12-31 19:00:00,13.606,13.3014524830948
2021-12-31 20:00:00,13.525,13.7724333103183
2021-12-31 21:00:00,11.008,13.2822287758611
2021-12-31 22:00:00,9.315,12.5421160473669
2021-12-31 23:00:00,6.724,10.6293571776222
2022-01-01 00:00:00,8.236,8.23600562703703
2022-01-01 01:00:00,6.874,7.84191962874791
2022-01-01 02:00:00,5.345,6.46742456154439
2022-01-01 03:00:00,5.054,5.79459480836785
2022-01-01 04:00:00,4.502,5.95799631985358
2022-01-01 05:00:00,6.362,6.36169417175951
2022-01-01 06:00:00,3.383,5.51585105348042
2022-01-01 07:00:00,2.463,4.98719910455599
2022-01-01 08:00:00,2.303,4.82379759307026
2022-01-01 09:00:00,4.968,4.96797539732238
2022-01-01 10:00:00,8.463,6.99607651046882
2022-01-01 11:00:00,10.974,9.92769186359521
2022-01-01 12:00:00,13.235,11.7058847827047
2022-01-01 13:00:00,14.932,13.1188272643754
2022-01-01 14:00:00,15.298,13.637867359683
2022-01-01 15:00:00,14.372,12.7728005341703
2022-01-01 16:00:00,11.491,10.9081009325096
2022-01-01 17:00:00,8.114,9.18757913510101
2022-01-01 18:00:00,6.673,8.25522933427065
2022-01-01 19:00:00,5.484,7.64968255641176
2022-01-01 20:00:00,4.897,7.00568836408563
2022-01-01 21:00:00,4.032,6.83267499898309
2022-01-01 22:00:00,3.630,5.9772200270872
2022-01-01 23:00:00,3.119,5.74653554028381
2022-01-02 00:00:00,2.231,5.90032519815273
2022-01-02 01:00:00,1.764,5.32361398114426
2022-01-02 02:00:00,0.928,4.98719910455599
2022-01-02 03:00:00,0.434,5.47740363901319
2022-01-02 04:00:00,0.324,5.07370578710726
2022-01-02 05:00:00,0.195,5.39089695646192
2022-01-02 06:00:00,0.544,5.92916075900316
2022-01-02 07:00:00,1.166,6.85189870621671
2022-01-02 08:00:00,2.211,5.19865988412576
2022-01-02 09:00:00,6.102,6.1021741241057
2022-01-02 10:00:00,11.639,12.5997871690678
2022-01-02 11:00:00,12.594,13.339899897562
2022-01-02 12:00:00,12.787,14.4068156490277
2022-01-02 13:00:00,15.186,15.2334350600731
2022-01-02 14:00:00,14.788,15.9543240813337
2022-01-02 15:00:00,14.947,15.7140277409135
2022-01-02 16:00:00,14.916,15.137316523905
2022-01-02 17:00:00,14.293,14.6759475502983
2022-01-02 18:00:00,13.622,14.0319533579721
2022-01-02 19:00:00,13.269,13.6570910669166
2022-01-02 20:00:00,12.658,12.9650376065065
2022-01-02 21:00:00,12.239,12.4556093648157
2022-01-02 22:00:00,12.196,12.1960893171619
2022-01-02 23:00:00,12.336,12.2441485852459
2022-01-03 00:00:00,12.175,12.0807470737602
2022-01-03 01:00:00,12.110,11.8116151724895
2022-01-03 02:00:00,11.965,11.6962729290878
2022-01-03 03:00:00,11.867,11.5713188320693
2022-01-03 04:00:00,11.576,11.3310224916492
2022-01-03 05:00:00,11.350,11.1580091265466
2022-01-03 06:00:00,11.236,10.9561602005936
2022-01-03 07:00:00,11.025,10.840817957192
2022-01-03 08:00:00,10.992,10.7735349818743
2022-01-03 09:00:00,11.252,10.8984890788928
2022-01-03 10:00:00,11.609,11.0234431759113
2022-01-03 11:00:00,11.916,11.1580091265466
2022-01-03 12:00:00,12.223,11.2156802482475
2022-01-03 13:00:00,12.562,11.4463647350508
2022-01-03 14:00:00,12.594,11.6097662465366
2022-01-03 15:00:00,12.288,11.686661075471
2022-01-03 16:00:00,12.078,11.6962729290878
2022-01-03 17:00:00,12.029,11.6578255146206
2022-01-03 18:00:00,11.851,11.5520951248357
2022-01-03 19:00:00,11.706,11.8116151724895
2022-01-03 20:00:00,12.045,12.0807470737602
2022-01-03 21:00:00,12.110,12.340267121414
2022-01-03 22:00:00,12.529,12.7247412660863
2022-01-03 23:00:00,12.417,12.7055175588527
2022-01-04 00:00:00,12.546,12.5709516082174
2022-01-04 01:00:00,12.352,12.4267738039652
2022-01-04 02:00:00,12.739,12.8977546311888
2022-01-04 03:00:00,13.157,13.1957220933099
2022-01-04 04:00:00,12.755,12.9073664848056
2022-01-04 05:00:00,12.158,11.8981218550408
2022-01-04 06:00:00,12.336,12.2729841460963
2022-01-04 07:00:00,13.381,13.9358348218041
2022-01-04 08:00:00,13.590,15.1180928166714
2022-01-04 09:00:00,14.245,15.0988691094378
2022-01-04 10:00:00,14.836,15.589073643895
2022-01-04 11:00:00,15.808,16.040830763885
