dttm, th,origin
2021-12-25 13:00:00,11.155,H
2021-12-25 14:00:00,11.041,H
2021-12-25 15:00:00,10.797,H
2021-12-25 16:00:00,10.013,H
2021-12-25 17:00:00,9.11,H
2021-12-25 18:00:00,8.812,H
2021-12-25 19:00:00,8.713,H
2021-12-25 20:00:00,8.348,H
2021-12-25 21:00:00,8.232,H
2021-12-25 22:00:00,8.066,H
2021-12-25 23:00:00,7.882,H
2021-12-26 00:00:00,7.749,H
2021-12-26 01:00:00,7.38,H
2021-12-26 02:00:00,6.369,H
2021-12-26 03:00:00,5.467,H
2021-12-26 04:00:00,5.227,H
2021-12-26 05:00:00,5.02,H
2021-12-26 06:00:00,4.917,H
2021-12-26 07:00:00,4.727,H
2021-12-26 08:00:00,4.796,H
2021-12-26 09:00:00,5.296,H
2021-12-26 10:00:00,6.063,H
2021-12-26 11:00:00,6.758,H
2021-12-26 12:00:00,7.28,H
2021-12-26 13:00:00,7.632,H
2021-12-26 14:00:00,7.999,H
2021-12-26 15:00:00,8.581,H
2021-12-26 16:00:00,8.597,H
2021-12-26 17:00:00,8.249,H
2021-12-26 18:00:00,8.215,H
2021-12-26 19:00:00,7.999,H
2021-12-26 20:00:00,7.966,H
2021-12-26 21:00:00,8.049,H
2021-12-26 22:00:00,7.999,H
2021-12-26 23:00:00,8.299,H
2021-12-27 00:00:00,8.663,H
2021-12-27 01:00:00,8.878,H
2021-12-27 02:00:00,8.879,H
2021-12-27 03:00:00,7.815,H
2021-12-27 04:00:00,7.347,H
2021-12-27 05:00:00,7.263,H
2021-12-27 06:00:00,7.213,H
2021-12-27 07:00:00,6.097,H
2021-12-27 08:00:00,5.398,H
2021-12-27 09:00:00,5.859,H
2021-12-27 10:00:00,7.027,H
2021-12-27 11:00:00,8.48,H
2021-12-27 12:00:00,9.587,H
2021-12-27 13:00:00,9.636,H
2021-12-27 14:00:00,9.093,H
2021-12-27 15:00:00,9.669,H
2021-12-27 16:00:00,9.225,H
2021-12-27 17:00:00,9.241,H
2021-12-27 18:00:00,10.226,H
2021-12-27 19:00:00,10.128,H
2021-12-27 20:00:00,10.21,H
2021-12-27 21:00:00,10.878,R
2021-12-27 22:00:00,10.537,H
2021-12-27 23:00:00,10.602,H
2021-12-28 00:00:00,10.488,H
2021-12-28 01:00:00,10.39,H
2021-12-28 02:00:00,10.292,H
2021-12-28 03:00:00,10.667,H
2021-12-28 04:00:00,10.585,H
2021-12-28 05:00:00,10.242,H
2021-12-28 06:00:00,11.285,H
2021-12-28 07:00:00,11.155,H
2021-12-28 08:00:00,11.366,H
2021-12-28 09:00:00,11.738,H
2021-12-28 10:00:00,12.255,H
2021-12-28 11:00:00,13.044,H
2021-12-28 12:00:00,13.381,H
2021-12-28 13:00:00,12.883,H
2021-12-28 14:00:00,12.352,H
2021-12-28 15:00:00,11.268,H
2021-12-28 16:00:00,10.846,H
