,dttm,th,origin
210,2021-12-21 17:00:00,-1.99133333333333,H
211,2021-12-21 18:00:00,-1.81866666666667,H
212,2021-12-21 19:00:00,-1.68466666666667,H
213,2021-12-21 20:00:00,-2.04883333333333,H
214,2021-12-21 21:00:00,-2.37766666666667,H
215,2021-12-21 22:00:00,-2.98133333333333,H
216,2021-12-21 23:00:00,-3.2565,H
217,2021-12-22 00:00:00,-3.833,H
218,2021-12-22 01:00:00,-5.06516666666667,H
219,2021-12-22 02:00:00,-5.39333333333333,H
220,2021-12-22 03:00:00,-6.03733333333333,H
221,2021-12-22 04:00:00,-6.142,H
222,2021-12-22 05:00:00,-5.891,H
223,2021-12-22 06:00:00,-6.79666666666667,H
224,2021-12-22 07:00:00,-6.818,H
225,2021-12-22 08:00:00,-7.11683333333333,H
226,2021-12-22 09:00:00,-6.37416666666667,H
227,2021-12-22 10:00:00,-4.537,H
228,2021-12-22 11:00:00,-3.081,H
229,2021-12-22 12:00:00,-1.78133333333333,H
230,2021-12-22 13:00:00,-1.07633333333333,H
231,2021-12-22 14:00:00,-0.718166666666667,H
232,2021-12-22 15:00:00,-1.00066666666667,H
233,2021-12-22 16:00:00,-1.91483333333333,H
234,2021-12-22 17:00:00,-2.786,H
235,2021-12-22 18:00:00,-3.47433333333333,H
236,2021-12-22 19:00:00,-4.0115,H
237,2021-12-22 20:00:00,-4.35266666666667,H
238,2021-12-22 21:00:00,-4.61566666666667,H
239,2021-12-22 22:00:00,-4.86,H
240,2021-12-22 23:00:00,-3.879684,R
241,2021-12-23 00:00:00,-4.96183333333333,H
242,2021-12-23 01:00:00,-4.67666666666667,H
243,2021-12-23 02:00:00,-4.61566666666667,H
244,2021-12-23 03:00:00,-4.2725,H
245,2021-12-23 04:00:00,-3.97133333333333,H
246,2021-12-23 05:00:00,-4.35316666666667,H
247,2021-12-23 06:00:00,-4.39333333333333,H
248,2021-12-23 07:00:00,-2.82833333333333,H
249,2021-12-23 08:00:00,-1.324,H
250,2021-12-23 09:00:00,2.70433333333333,H
251,2021-12-23 10:00:00,5.41133333333333,H
252,2021-12-23 11:00:00,7.01083333333333,H
253,2021-12-23 12:00:00,7.44633333333333,H
254,2021-12-23 13:00:00,9.93083333333333,H
255,2021-12-23 14:00:00,8.21516666666667,H
256,2021-12-23 15:00:00,8.232,H
257,2021-12-23 16:00:00,8.72916666666667,H
258,2021-12-23 17:00:00,8.63033333333333,H
259,2021-12-23 18:00:00,8.44816666666667,H
260,2021-12-23 19:00:00,8.79566666666667,H
261,2021-12-23 20:00:00,9.38983333333333,H
262,2021-12-23 21:00:00,10.1438333333333,H
263,2021-12-23 22:00:00,9.817,H
264,2021-12-23 23:00:00,9.8005,H
265,2021-12-24 00:00:00,10.683,H
266,2021-12-24 01:00:00,10.5528333333333,H
267,2021-12-24 02:00:00,10.1446666666667,H
268,2021-12-24 03:00:00,10.259,H
269,2021-12-24 04:00:00,10.0465,H
270,2021-12-24 05:00:00,9.99766666666667,H
271,2021-12-24 06:00:00,9.84966666666667,H
272,2021-12-24 07:00:00,9.57066666666667,H
273,2021-12-24 08:00:00,8.97766666666667,H
274,2021-12-24 09:00:00,8.38183333333333,H
275,2021-12-24 10:00:00,8.4315,H
276,2021-12-24 11:00:00,8.92833333333333,H
277,2021-12-24 12:00:00,9.24183333333333,H
278,2021-12-24 13:00:00,9.538,H
279,2021-12-24 14:00:00,9.4885,H
280,2021-12-24 15:00:00,9.43916666666667,H
281,2021-12-24 16:00:00,9.53783333333333,H
282,2021-12-24 17:00:00,9.63633333333333,H
