dttm,my_hobo
2021-12-31 12:00:00,10.177
2021-12-31 13:00:00,11.0733
2021-12-31 14:00:00,11.6088
2021-12-31 15:00:00,14.2112
2021-12-31 16:00:00,14.8043
2021-12-31 17:00:00,13.9255
2021-12-31 18:00:00,13.285
2021-12-31 19:00:00,12.8993
2021-12-31 20:00:00,13.0118
2021-12-31 21:00:00,12.8345
2021-12-31 22:00:00,9.9113
2021-12-31 23:00:00,7.965
2022-01-01 00:00:00,7.0787
2022-01-01 01:00:00,6.8935
2022-01-01 02:00:00,6.08
2022-01-01 03:00:00,5.209
2022-01-01 04:00:00,4.9513
2022-01-01 05:00:00,5.8083
2022-01-01 06:00:00,NA
2022-01-01 07:00:00,4.4323
2022-01-01 08:00:00,4.1368
2022-01-01 09:00:00,4.0675
2022-01-01 10:00:00,5.5655
2022-01-01 11:00:00,8.3635
2022-01-01 12:00:00,9.8655
2022-01-01 13:00:00,11.4623
2022-01-01 14:00:00,12.7705
2022-01-01 15:00:00,NA
2022-01-01 16:00:00,12.3833
2022-01-01 17:00:00,10.274
2022-01-01 18:00:00,8.5967
2022-01-01 19:00:00,7.6983
2022-01-01 20:00:00,6.944
2022-01-01 21:00:00,6.4708
2022-01-01 22:00:00,5.6377
2022-01-01 23:00:00,5.4318
2022-01-02 00:00:00,4.9342
2022-01-02 01:00:00,4.796
2022-01-02 02:00:00,4.311
2022-01-02 03:00:00,3.9278
2022-01-02 04:00:00,3.5952
2022-01-02 05:00:00,3.4897
2022-01-02 06:00:00,4.1197
2022-01-02 07:00:00,3.9452
2022-01-02 08:00:00,4.5537
2022-01-02 09:00:00,4.3802
2022-01-02 10:00:00,6.2792
2022-01-02 11:00:00,10.7227
2022-01-02 12:00:00,13.0282
2022-01-02 13:00:00,13.8292
2022-01-02 14:00:00,15.8708
2022-01-02 15:00:00,15.5688
2022-01-02 16:00:00,14.9
2022-01-02 17:00:00,14.5648
2022-01-02 18:00:00,14.2933
2022-01-02 19:00:00,13.5415
2022-01-02 20:00:00,13.1887
2022-01-02 21:00:00,12.819
2022-01-02 22:00:00,12.6258
2022-01-02 23:00:00,12.5455
2022-01-03 00:00:00,12.5455
2022-01-03 01:00:00,12.3683
2022-01-03 02:00:00,12.207
2022-01-03 03:00:00,12.0453
2022-01-03 04:00:00,11.9322
2022-01-03 05:00:00,11.7058
2022-01-03 06:00:00,11.3987
2022-01-03 07:00:00,11.3177
2022-01-03 08:00:00,11.1713
2022-01-03 09:00:00,11.2525
2022-01-03 10:00:00,11.6573
2022-01-03 11:00:00,12.0453
2022-01-03 12:00:00,12.352
2022-01-03 13:00:00,12.7063
2022-01-03 14:00:00,12.8992
2022-01-03 15:00:00,13.0923
2022-01-03 16:00:00,12.6742
2022-01-03 17:00:00,12.2553
2022-01-03 18:00:00,NA
2022-01-03 19:00:00,NA
2022-01-03 20:00:00,12.207
2022-01-03 21:00:00,12.4167
2022-01-03 22:00:00,12.5293
2022-01-03 23:00:00,12.9477
2022-01-04 00:00:00,12.7062
2022-01-04 01:00:00,12.7223
2022-01-04 02:00:00,12.626
2022-01-04 03:00:00,12.8832
2022-01-04 04:00:00,13.0763
2022-01-04 05:00:00,12.9798
2022-01-04 06:00:00,12.2713
2022-01-04 07:00:00,12.5777
2022-01-04 08:00:00,13.5415
2022-01-04 09:00:00,14.182
2022-01-04 10:00:00,14.405
2022-01-04 11:00:00,14.7085
2022-01-04 12:00:00,15.6007
2022-01-04 13:00:00,15.0267
