Logger_id,Location_id,time,PM10,PM25
5001-C1A5,1,2019-01-18 11:16:47+00,16.1,9.9
5001-C1A5,1,2019-01-18 11:16:51+00,15.3,9.5
5001-C1A5,1,2019-01-18 11:16:53+00,14.6,9.4
5001-C1A5,1,2019-01-18 11:16:55+00,14.1,9.3
5001-C1A5,1,2019-01-18 11:16:57+00,14.6,9.5
5001-C1A5,1,2019-01-18 11:17:01+00,17.1,10.1
5001-C1A5,1,2019-01-18 11:17:03+00,17,10.4
5001-C1A5,1,2019-01-18 11:17:05+00,17.1,10.6
5001-C1A5,1,2019-01-18 11:17:09+00,17,10.8
5001-C1A5,1,2019-01-18 11:17:11+00,16.7,10.8
5001-C1A5,1,2019-01-18 11:17:13+00,16.6,10.9
5001-C1A5,1,2019-01-18 11:17:15+00,16.6,10.9
5001-C1A5,1,2019-01-18 11:17:17+00,16.4,10.9
5001-C1A5,1,2019-01-18 11:17:19+00,16.5,11
5001-C1A5,1,2019-01-18 11:17:22+00,17.6,11.3
5001-C1A5,1,2019-01-18 11:17:26+00,17.7,11.4
5001-C1A5,1,2019-01-18 11:17:28+00,16.8,11.1
5001-C1A5,1,2019-01-18 11:17:30+00,14.4,10.6
5001-C1A5,1,2019-01-18 11:17:34+00,14.7,10.5
5001-C1A5,1,2019-01-18 11:17:36+00,14.1,10.3
5001-C1A5,1,2019-01-18 11:17:38+00,15.4,10.5
5001-C1A5,1,2019-01-18 11:17:40+00,15.2,10.5
5001-C1A5,1,2019-01-18 11:17:44+00,15.9,10.3
5001-C1A5,1,2019-01-18 11:17:46+00,16,10.3
5001-C1A5,1,2019-01-18 11:17:48+00,17.2,10.4
5001-C1A5,1,2019-01-18 11:17:50+00,17.1,10.2
5001-C1A5,1,2019-01-18 11:17:54+00,17.1,10.4
5001-C1A5,1,2019-01-18 11:17:56+00,17,10.5
5001-C1A5,1,2019-01-18 11:17:58+00,17.4,10.5
5001-C1A5,1,2019-01-18 11:18:00+00,18.2,10.7
5001-C1A5,1,2019-01-18 11:18:04+00,17.6,10.7
5001-C1A5,1,2019-01-18 11:18:06+00,17.8,10.6
5001-C1A5,1,2019-01-18 11:18:08+00,16.1,10.3
5001-C1A5,1,2019-01-18 11:18:10+00,16,10.2
5001-C1A5,1,2019-01-18 11:18:14+00,15.5,10.1
5001-C1A5,1,2019-01-18 11:18:16+00,15.3,10
5001-C1A5,1,2019-01-18 11:18:18+00,14.3,10
5001-C1A5,1,2019-01-18 11:18:20+00,14.2,10
5001-C1A5,1,2019-01-18 11:18:22+00,13.9,9.9
5001-C1A5,1,2019-01-18 11:18:24+00,13.5,9.7
5001-C1A5,1,2019-01-18 11:18:26+00,14.4,9.8
5001-C1A5,1,2019-01-18 11:18:28+00,14.3,9.8
