"ID","date","hour","th","origin"
"435",2018-12-28,2,0.102,"H"
"436",2018-12-28,3,0.14,"H"
"437",2018-12-28,4,0.324,"H"
"438",2018-12-28,5,0.706,"R"
"439",2018-12-28,6,-0.065,"H"
"440",2018-12-28,7,0.01,"H"
"441",2018-12-28,8,0.066,"H"
"442",2018-12-28,9,-0.009,"H"
"443",2018-12-28,10,1.165,"H"
"444",2018-12-28,11,2.605,"H"
"445",2018-12-28,12,2.836,"H"
"446",2018-12-28,13,2.481,"H"
"447",2018-12-28,14,2.712,"H"
"448",2018-12-28,15,2.784,"H"
"449",2018-12-28,16,2.249,"H"
"450",2018-12-28,17,2.016,"H"
"451",2018-12-28,18,1.674,"H"
"452",2018-12-28,19,1.457,"H"
"453",2018-12-28,20,1.457,"H"
"454",2018-12-28,21,1.728,"H"
"455",2018-12-28,22,1.602,"H"
"456",2018-12-28,23,1.62,"H"
"457",2018-12-29,0,1.656,"H"
"458",2018-12-29,1,1.616,"R"
"459",2018-12-29,2,1.707,"R"
"460",2018-12-29,3,1.638,"H"
"461",2018-12-29,4,1.548,"H"
"462",2018-12-29,5,1.471,"R"
"463",2018-12-29,6,1.312,"H"
"464",2018-12-29,7,1.457,"H"
"465",2018-12-29,8,1.294,"H"
"466",2018-12-29,9,1.638,"H"
"467",2018-12-29,10,1.98,"H"
"468",2018-12-29,11,2.801,"H"
"469",2018-12-29,12,3.595,"H"
"470",2018-12-29,13,3.875,"H"
"471",2018-12-29,14,3.278,"H"
"472",2018-12-29,15,2.872,"H"
"473",2018-12-29,16,2.428,"H"
"474",2018-12-29,17,2.088,"H"
"475",2018-12-29,18,1.457,"H"
"476",2018-12-29,19,1.764,"H"
"477",2018-12-29,20,1.507,"R"
"478",2018-12-29,21,1.764,"H"
"479",2018-12-29,22,1.962,"H"
"480",2018-12-29,23,2.141,"H"
"481",2018-12-30,0,2.267,"H"
"482",2018-12-30,1,2.335,"R"
"483",2018-12-30,2,2.052,"H"
"484",2018-12-30,3,2.105,"H"
"485",2018-12-30,4,2.819,"H"
"486",2018-12-30,5,3.261,"H"
"487",2018-12-30,6,3.991,"R"
"488",2018-12-30,7,3.226,"H"
"489",2018-12-30,8,3.543,"H"
"490",2018-12-30,9,3.873,"R"
"491",2018-12-30,10,4.328,"H"
"492",2018-12-30,11,4.934,"H"
"493",2018-12-30,12,5.552,"H"
"494",2018-12-30,13,6.013,"H"
"495",2018-12-30,14,6.098,"H"
"496",2018-12-30,15,5.518,"H"
"497",2018-12-30,16,5.089,"H"
"498",2018-12-30,17,4.606,"H"
"499",2018-12-30,18,4.554,"H"
"500",2018-12-30,19,4.467,"H"
"501",2018-12-30,20,4.398,"H"
"502",2018-12-30,21,4.346,"H"
"503",2018-12-30,22,4.415,"H"
"504",2018-12-30,23,4.502,"H"
"505",2018-12-31,0,4.737,"R"
"506",2018-12-31,1,4.467,"H"
"507",2018-12-31,2,4.467,"H"
"508",2018-12-31,3,4.276,"H"
"509",2018-12-31,4,4.259,"H"
"510",2018-12-31,5,4.571,"H"
"511",2018-12-31,6,4.692,"H"
"512",2018-12-31,7,4.744,"H"
"513",2018-12-31,8,4.814,"H"
"514",2018-12-31,9,5.381,"H"
"515",2018-12-31,10,5.859,"H"
"516",2018-12-31,11,6.267,"H"
"517",2018-12-31,12,7.665,"H"
"518",2018-12-31,13,8.232,"H"
"519",2018-12-31,14,7.882,"H"
"520",2018-12-31,15,7.632,"H"
"521",2018-12-31,16,7.28,"H"
"522",2018-12-31,17,7.028,"H"
"523",2018-12-31,18,6.877,"H"
"524",2018-12-31,19,6.674,"H"
