#HOBO_ID 10801132
#Location_Lat_Lon 48.012 7.853
#Alt_above_ground 4.5
#Exposition S
#Influence_class 2
id	date	time	ta	lux
650	2018-12-13	12:10	4.311	3272.2
651	2018-12-13	12:20	4.519	4477.8
652	2018-12-13	12:30	3.998	1722.2
653	2018-12-13	12:40	3.261	1550
654	2018-12-13	12:50	3.367	1550
655	2018-12-13	13:00	3.261	958
656	2018-12-13	13:10	3.683	893.4
657	2018-12-13	13:20	3.578	764.2
658	2018-12-13	13:30	3.472	721.2
659	2018-12-13	13:40	3.472	667.4
660	2018-12-13	13:50	3.367	678.1
661	2018-12-13	14:00	3.367	914.9
662	2018-12-13	14:10	3.472	882.6
663	2018-12-13	14:20	3.472	904.2
664	2018-12-13	14:30	3.472	914.9
665	2018-12-13	14:40	3.472	925.7
666	2018-12-13	14:50	3.261	688.9
667	2018-12-13	15:00	3.998	645.8
668	2018-12-13	15:10	4.311	678.1
669	2018-12-13	15:20	3.578	602.8
670	2018-12-13	15:30	3.998	635.1
671	2018-12-13	15:40	4.311	731.9
672	2018-12-13	15:50	4.415	645.8
673	2018-12-13	16:00	3.998	376.7
674	2018-12-13	16:10	3.683	215.3
675	2018-12-13	16:20	3.472	107.6
676	2018-12-13	16:30	2.943	43.1
677	2018-12-13	16:40	2.624	10.8
678	2018-12-13	16:50	2.517	0
679	2018-12-13	17:00	2.41	0
680	2018-12-13	17:10	2.41	0
681	2018-12-13	17:20	2.41	0
682	2018-12-13	17:30	2.41	0
683	2018-12-13	17:40	2.41	0
