dttm,temp,origin
2023.11.13 00,10.9917,H
2023.11.13 01,11.9133,H
2023.11.13 02,12.5897,H
2023.11.13 03,12.9910,H
2023.11.13 04,13.1837,H
2023.11.13 05,11.7828,H
2023.11.13 06,11.0407,H
2023.11.13 07,11.4772,H
2023.11.13 08,12.6698,H
2023.11.13 09,14.0950,H
2023.11.13 10,15.2425,H
2023.11.13 11,16.0695,H
2023.11.13 12,15.8746,R
2023.11.13 13,15.0358,H
2023.11.13 14,15.9103,H
2023.11.13 15,16.7358,H
2023.11.13 16,16.5770,H
2023.11.13 17,16.5770,H
2023.11.13 18,16.6565,H
2023.11.13 19,16.5295,H
2023.11.13 20,16.8468,H
2023.11.13 21,17.2910,H
2023.11.13 22,15.6240,H
2023.11.13 23,14.2228,H
2023.11.14 00,14.7990,R
2023.11.14 01,13.9353,H
2023.11.14 02,12.4445,H
2023.11.14 03,11.8167,H
2023.11.14 04,11.5095,H
2023.11.14 05,10.4063,H
2023.11.14 06,9.3605,H
2023.11.14 07,10.1782,H
2023.11.14 08,10.8618,H
2023.11.14 09,11.5418,H
2023.11.14 10,12.0590,H
2023.11.14 11,12.4287,H
2023.11.14 12,12.7022,H
2023.11.14 13,10.6637,H
2023.11.14 14,8.9332,H
2023.11.14 15,8.9002,H
2023.11.14 16,9.0647,H
2023.11.14 17,10.3563,H
2023.11.14 18,11.8647,H
2023.11.14 19,12.3805,H
2023.11.14 20,10.9230,H
2023.11.14 21,9.8028,H
2023.11.14 22,10.3250,H
2023.11.14 23,11.0403,H
2023.11.15 00,11.3317,H
2023.11.15 01,11.3802,H
2023.11.15 02,11.0568,H
2023.11.15 03,10.8945,H
2023.11.15 04,10.7970,H
2023.11.15 05,10.8783,H
2023.11.15 06,10.6670,H
2023.11.15 07,9.7702,H
2023.11.15 08,9.9173,H
2023.11.15 09,10.1622,H
2023.11.15 10,10.9268,H
2023.11.15 11,11.6873,H
2023.11.15 12,12.0908,H
2023.11.15 13,12.6533,H
2023.11.15 14,11.9128,H
2023.11.15 15,12.2510,H
2023.11.15 16,11.4603,H
2023.11.15 17,10.0473,H
2023.11.15 18,9.7377,H
2023.11.15 19,9.9173,H
2023.11.15 20,9.8357,H
2023.11.15 21,9.8683,H
2023.11.15 22,9.7865,H
2023.11.15 23,9.4098,H
2023.11.16 00,9.2293,H
2023.11.16 01,9.4210,R
2023.11.16 02,9.3438,H
2023.11.16 03,8.1883,H
2023.11.16 04,7.1400,H
2023.11.16 05,7.2403,H
2023.11.16 06,7.1232,H
2023.11.16 07,7.6609,R
2023.11.16 08,8.1207,H
2023.11.16 09,7.7910,H
2023.11.16 10,8.4378,H
2023.11.16 11,9.6857,H
2023.11.16 12,11.8973,H
2023.11.16 13,10.6662,H
2023.11.16 14,9.7045,H
2023.11.16 15,9.3113,H
2023.11.16 16,9.2948,H
2023.11.16 17,9.4093,H
2023.11.16 18,10.8617,H
2023.11.16 19,11.4448,H
2023.11.16 20,11.4933,H
2023.11.16 21,10.8780,H
2023.11.16 22,10.3250,H
2023.11.16 23,9.8193,H
2023.11.17 00,7.1883,H
2023.11.17 01,6.5695,H
2023.11.17 02,6.4513,H
2023.11.17 03,6.5525,H
2023.11.17 04,6.5017,H
2023.11.17 05,6.3497,H
2023.11.17 06,6.0963,H
2023.11.17 07,6.0625,H
2023.11.17 08,6.9170,H
2023.11.17 09,7.8562,H
2023.11.17 10,6.7375,H
2023.11.17 11,6.8043,H
2023.11.17 12,7.3902,H
2023.11.17 13,7.7407,H
2023.11.17 14,7.7575,H
2023.11.17 15,7.9073,H
2023.11.17 16,7.1565,H
2023.11.17 17,6.9052,H
2023.11.17 18,6.7708,H
2023.11.17 19,6.5188,H
2023.11.17 20,6.3328,H
2023.11.17 21,6.3897,R
2023.11.17 22,6.1807,H
2023.11.17 23,5.9270,H
2023.11.18 00,5.3820,H
2023.11.18 01,4.3685,H
2023.11.18 02,4.0743,H
2023.11.18 03,3.6918,H
2023.11.18 04,3.1142,H
2023.11.18 05,3.0440,H
2023.11.18 06,3.2720,H
2023.11.18 07,3.7496,R
2023.11.18 08,4.0913,H
2023.11.18 09,5.7512,H
2023.11.18 10,9.7683,H
2023.11.18 11,8.9153,H
2023.11.18 12,7.9238,H
2023.11.18 13,8.0728,H
2023.11.18 14,9.4750,H
2023.11.18 15,9.3113,H
2023.11.18 16,8.9165,H
2023.11.18 17,8.5370,H
2023.11.18 18,9.8190,H
2023.11.18 19,10.4555,H
2023.11.18 20,10.0150,H
2023.11.18 21,9.4753,H
2023.11.18 22,9.8845,H
2023.11.18 23,10.1785,H
2023.11.19 00,10.4227,H
2023.11.19 01,12.1225,H
2023.11.19 02,12.9752,H
2023.11.19 03,11.4922,H
2023.11.19 04,10.8945,H
2023.11.19 05,11.4287,H
2023.11.19 06,12.0587,H
2023.11.19 07,12.6378,H
2023.11.19 08,13.1195,H
2023.11.19 09,13.4240,H
2023.11.19 10,13.7440,H
2023.11.19 11,13.6256,R
2023.11.19 12,14.5580,H
2023.11.19 13,14.5100,H
2023.11.19 14,15.2260,H
2023.11.19 15,14.3101,R
2023.11.19 16,14.3663,H
2023.11.19 17,13.8398,H
2023.11.19 18,13.8557,H
2023.11.19 19,13.6160,H
2023.11.19 20,13.3760,H
2023.11.19 21,13.3600,H
2023.11.19 22,13.1033,H
2023.11.19 23,13.0230,H
2023.11.20 00,12.9910,H
2023.11.20 01,12.8308,H
2023.11.20 02,12.6057,H
2023.11.20 03,12.3000,H
2023.11.20 04,12.0425,H
2023.11.20 05,11.6065,H
2023.11.20 06,11.2670,H
2023.11.20 07,11.0242,H
2023.11.20 08,10.8295,H
2023.11.20 09,11.0407,H
2023.11.20 10,11.2832,H
2023.11.20 11,11.4772,H
2023.11.20 12,11.8812,H
2023.11.20 13,12.7340,H
2023.11.20 14,13.1672,H
2023.11.20 15,12.1068,H
2023.11.20 16,11.6550,H
2023.11.20 17,11.1368,H
2023.11.20 18,10.3903,H
2023.11.20 19,10.6830,H
2023.11.20 20,10.6995,H
2023.11.20 21,10.6670,H
2023.11.20 22,10.4228,H
2023.11.20 23,9.7050,H
2023.11.21 00,9.1135,H
2023.11.21 01,8.3055,H
2023.11.21 02,8.1065,H
2023.11.21 03,8.2227,H
2023.11.21 04,8.2558,H
2023.11.21 05,8.2392,H
2023.11.21 06,8.1563,H
2023.11.21 07,7.6250,H
2023.11.21 08,7.8565,R
2023.11.21 09,9.1305,H
2023.11.21 10,9.6555,H
2023.11.21 11,8.7847,H
2023.11.21 12,8.4867,H
2023.11.21 13,8.1398,H
2023.11.21 14,8.5205,H
2023.11.21 15,8.6032,H
2023.11.21 16,8.3055,H
2023.11.21 17,8.4432,R
2023.11.21 18,8.2476,R
2023.11.21 19,8.0900,H
2023.11.21 20,8.0402,H
2023.11.21 21,7.8907,H
2023.11.21 22,7.8240,H
2023.11.21 23,7.7742,H
2023.11.22 00,7.4907,H
2023.11.22 01,7.5631,R
2023.11.22 02,7.3240,H
2023.11.22 03,7.1737,H
2023.11.22 04,6.0615,H
2023.11.22 05,4.7992,H
2023.11.22 06,4.2650,H
2023.11.22 07,3.7615,H
2023.11.22 08,3.4475,H
2023.11.22 09,3.7427,H
2023.11.22 10,3.3590,H
2023.11.22 11,3.3425,H
2023.11.22 12,3.4825,H
2023.11.22 13,3.1493,H
2023.11.22 14,2.9207,H
2023.11.22 15,2.8696,R
2023.11.22 16,3.0070,H
2023.11.22 17,2.7440,H
2023.11.22 18,2.6027,H
2023.11.22 19,2.5497,H
2023.11.22 20,2.5497,H
2023.11.22 21,2.4785,H
2023.11.22 22,2.3013,H
2023.11.22 23,2.4784,R
2023.11.23 00,2.0162,H
2023.11.23 01,1.8730,H
2023.11.23 02,1.3158,H
2023.11.23 03,0.8448,H
2023.11.23 04,0.4437,H
2023.11.23 05,0.1868,H
2023.11.23 06,-0.2557,H
2023.11.23 07,-0.3145,H
2023.11.23 08,-0.2595,R
2023.11.23 09,0.5335,H
2023.11.23 10,2.6535,H
2023.11.23 11,4.2992,H
2023.11.23 12,5.7223,H
2023.11.23 13,5.7053,R
2023.11.23 14,12.4913,H
2023.11.23 15,7.0742,R
2023.11.23 16,7.0202,H
2023.11.23 17,4.8497,H
2023.11.23 18,3.7615,H
2023.11.23 19,3.1668,H
2023.11.23 20,3.5160,H
2023.11.23 21,4.9375,H
2023.11.23 22,5.5353,H
2023.11.23 23,6.7197,H
2023.11.24 00,7.1233,H
2023.11.24 01,7.2740,H
2023.11.24 02,7.4408,H
2023.11.24 03,7.4573,H
2023.11.24 04,7.6415,H
2023.11.24 05,7.8740,H
2023.11.24 06,7.5742,H
2023.11.24 07,7.3740,H
2023.11.24 08,7.6575,H
2023.11.24 09,7.5075,H
2023.11.24 10,7.4740,H
2023.11.24 11,7.6412,H
2023.11.24 12,7.7908,H
2023.11.24 13,8.1498,R
2023.11.24 14,7.6573,H
2023.11.24 15,6.7878,H
2023.11.24 16,6.4343,H
2023.11.24 17,5.8590,H
2023.11.24 18,5.9986,R
2023.11.24 19,4.4035,H
2023.11.24 20,4.0223,H
2023.11.24 21,4.3363,R
2023.11.24 22,4.1610,H
2023.11.24 23,4.2303,H
2023.11.25 00,4.4341,R
2023.11.25 01,4.0223,H
2023.11.25 02,3.9182,H
2023.11.25 03,3.6395,H
2023.11.25 04,3.4650,H
2023.11.25 05,3.6518,R
2023.11.25 06,3.6518,R
2023.11.25 07,3.1142,H
2023.11.25 08,2.6908,H
2023.11.25 09,2.4072,H
2023.11.25 10,4.6788,H
2023.11.25 11,4.9545,H
2023.11.25 12,5.6367,H
2023.11.25 13,5.6888,H
2023.11.25 14,5.2625,H
2023.11.25 15,4.7480,H
2023.11.25 16,3.1468,H
2023.11.25 17,2.6557,H
2023.11.25 18,2.9737,H
2023.11.25 19,3.0263,H
2023.11.25 20,3.3250,H
2023.11.25 21,3.3600,H
2023.11.25 22,3.3775,H
2023.11.25 23,3.4300,H
2023.11.26 00,3.5000,H
2023.11.26 01,3.1320,H
2023.11.26 02,3.3250,H
2023.11.26 03,2.9028,H
2023.11.26 04,3.0965,H
2023.11.26 05,3.1495,H
2023.11.26 06,2.9560,H
2023.11.26 07,3.0651,R
2023.11.26 08,3.0651,R
2023.11.26 09,3.6392,H
2023.11.26 10,4.2823,H
2023.11.26 11,4.1090,H
2023.11.26 12,5.1763,H
2023.11.26 13,6.3585,H
2023.11.26 14,5.1186,R
2023.11.26 15,6.1943,H
2023.11.26 16,5.3308,H
2023.11.26 17,4.3510,H
2023.11.26 18,3.4648,H
2023.11.26 19,2.7617,H
2023.11.26 20,2.1403,H
2023.11.26 21,1.4420,H
2023.11.26 22,1.1352,H
2023.11.26 23,1.4773,H
2023.11.27 00,1.2258,H
2023.11.27 01,1.4598,H
2023.11.27 02,1.3518,H
2023.11.27 03,0.9902,H
2023.11.27 04,0.7540,H
2023.11.27 05,0.3338,H
2023.11.27 06,0.5352,H
2023.11.27 07,1.1528,H
2023.11.27 08,3.1078,H
2023.11.27 09,5.2797,H
2023.11.27 10,6.1638,H
2023.11.27 11,6.1640,H
2023.11.27 12,4.8473,H
2023.11.27 13,3.5872,H
2023.11.27 14,3.9005,H
2023.11.27 15,2.9537,H
2023.11.27 16,2.4783,H
2023.11.27 17,3.5347,H
2023.11.27 18,3.8312,H
2023.11.27 19,3.9877,H
2023.11.27 20,4.1610,H
2023.11.27 21,4.2477,H
2023.11.27 22,4.8853,H
2023.11.27 23,5.3990,H
2023.11.28 00,5.5870,H
2023.11.28 01,5.7570,H
2023.11.28 02,6.2485,H
2023.11.28 03,6.6537,H
2023.11.28 04,6.8548,H
2023.11.28 05,6.7205,H
2023.11.28 06,6.4005,H
2023.11.28 07,6.3667,H
