#HOBO_ID 10760810
#Location_Lat_Lon 48.0122 7.853
#Alt_above_ground 4.5
#Exposition N
#Influence_class 2
id	date	time	ta	lux
399	2018-12-11	18:20:00	4.207	0
400	2018-12-11	18:30:00	4.311	0
401	2018-12-11	18:40:00	4.311	0
402	2018-12-11	18:50:00	4.415	0
403	2018-12-11	19:00:00	4.415	0
404	2018-12-11	19:10:00	4.311	0
405	2018-12-11	19:20:00	4.311	0
406	2018-12-11	19:30:00	4.207	0
407	2018-12-11	19:40:00	3.998	0
408	2018-12-11	19:50:00	4.102	0
409	2018-12-11	20:00:00	4.102	0
410	2018-12-11	20:10:00	3.998	0
411	2018-12-11	20:20:00	3.893	0
412	2018-12-11	20:30:00	3.893	0
413	2018-12-11	20:40:00	3.788	0
414	2018-12-11	20:50:00	3.683	0
415	2018-12-11	21:00:00	3.472	0
416	2018-12-11	21:10:00	3.155	0
417	2018-12-11	21:20:00	2.837	0
418	2018-12-11	21:30:00	2.624	0
419	2018-12-11	21:40:00	2.303	0
420	2018-12-11	21:50:00	2.088	0
421	2018-12-11	22:00:00	1.872	0
422	2018-12-11	22:10:00	1.656	0
423	2018-12-11	22:20:00	1.33	0
424	2018-12-11	22:30:00	1.112	0
425	2018-12-11	22:40:00	1.439	0
426	2018-12-11	22:50:00	1.33	0
427	2018-12-11	23:00:00	1.221	0
428	2018-12-11	23:10:00	0.893	0
429	2018-12-11	23:20:00	0.893	0
430	2018-12-11	23:30:00	0.784	0
431	2018-12-11	23:40:00	0.453	0
432	2018-12-11	23:50:00	0.121	0
433	2018-12-12	00:00:00	0.01	0
434	2018-12-12	00:10:00	0.01	0
435	2018-12-12	00:20:00	-0.102	0
436	2018-12-12	00:30:00	-0.213	0
437	2018-12-12	00:40:00	-0.325	0
438	2018-12-12	00:50:00	-0.549	0
439	2018-12-12	01:00:00	-0.662	0
440	2018-12-12	01:10:00	-0.662	0
441	2018-12-12	01:20:00	-0.549	0
442	2018-12-12	01:30:00	-0.774	0
443	2018-12-12	01:40:00	-0.774	0
444	2018-12-12	01:50:00	-0.887	0
445	2018-12-12	02:00:00	-0.887	0
446	2018-12-12	02:10:00	-0.774	0
447	2018-12-12	02:20:00	-0.437	0
